Series_Num,Date,Season,Building_Type,Floor_Num,Orientation,Time,Temperature_Air_indoor [C],Temperature_Globe [C],Temperature_Mean_Radiant [C],Temperature_Operative [C],Temperature_Wall [C],Relative_Humidity [%],Air_Sped [m/s],TSV,TPV,Data Accracy and Removal of outlier,ASV,APV,HSV,HPV,Overall Comfort,Temperature_outdoor [C],Relative_Humidity [%],Outdoor_Condition,Clothing_Level,Activity_Level,Exterior_Door_Status,Window_Status,Fan_Status,PMV,PPD,Window_Operation,Door_Operation,Fan_Operation,Clothing_Change,Posture_Change,Walking_In_Out,Drink_Change,Evaporative_Cooling_Status,Temperature_Outdoor_Daily_Mean,Temperature_Outdoor_Running_Mean_3d,Temperature_Outdoor_Running_Mean_7d,Temperature_Outdoor_Monthly_Mean
1,8/1/2018,Rainy ,Naturally ventilated,6,NS,Morning,31.5,30.9,28.1,30.8,31.2,68,1.5,0,0,0,2,2,0,0,0,30.9,68,Clear or Partially cloudy,0.19,1.2,0,0,1,0.89,21.78,1,1,1,1,0,0,0,0,30.5,29.49,29.67,26.4
2,8/1/2018,Rainy ,Naturally ventilated,6,NS,Morning,31.2,31,30.31,30.99,30.9,61,1,-1,0,-1,1,1,0,-1,0,30.6,69,Clear or Partially cloudy,0.21,1.2,0,0,1,1.19,34.71,0,0,0,0,0,0,0,0,30.5,29.49,29.67,26.4
3,8/1/2018,Rainy ,Naturally ventilated,6,SE,Morning,31.2,31,30.71,31.02,31.5,53,0.3,0,0,0,1,2,1,0,0,31.1,69,Clear or Partially cloudy,0.31,1.2,1,1,1,1.64,58.56,1,0,1,0,0,0,0,0,30.5,29.49,29.67,26.4
4,8/1/2018,Rainy ,Naturally ventilated,6,NE,Morning,31.6,31.4,31.18,31.43,31.5,57,0.2,-1,-1,-2,2,0,1,-1,0,31.4,71,Clear or Partially cloudy,0.27,1.2,1,1,1,1.89,71.59,1,0,1,1,0,0,1,0,30.5,29.49,29.67,26.4
5,8/1/2018,Rainy ,Naturally ventilated,6,NE,Morning,31.7,31.4,30.52,31.39,31.8,56,0.8,1,-1,0,1,0,2,0,0,,71,Clear or Partially cloudy,0.27,1.2,1,1,1,1.57,54.52,1,0,1,1,0,0,0,0,30.5,29.49,29.67,26.4
6,8/1/2018,Rainy ,Naturally ventilated,6,SW,Morning,31.1,30.8,30.16,30.81,30.7,59,0.5,0,-1,-1,1,1,3,-1,0,31.5,31.4,Clear or Partially cloudy,0.27,1.2,1,1,1,1.42,46.84,1,1,1,0,0,1,0,0,30.5,29.49,29.67,26.4
7,8/1/2018,Rainy ,Naturally ventilated,6,SE,Morning,31.2,30.9,30.36,30.92,32.2,67,0.4,1,-1,0,1,1,-2,1,0,30.5,68,Clear or Partially cloudy,0.27,1.2,1,1,1,1.62,57.38,1,1,1,0,0,1,0,0,30.5,29.49,29.67,26.4
8,8/1/2018,Rainy ,Naturally ventilated,6,SW,Morning,31.2,30.9,29.65,30.86,31.2,65,1.3,1,-1,0,-1,1,1,0,0,30.9,68,Clear or Partially cloudy,0.19,1.2,1,1,1,0.98,25.23,0,0,1,0,0,0,0,0,30.5,29.49,29.67,26.4
9,8/1/2018,Rainy ,Naturally ventilated,6,SW,Morning,31.4,31.1,30.38,31.1,32,58,0.6,0,-1,-1,-1,1,0,-1,0,31.4,69,Clear or Partially cloudy,0.36,1.2,1,1,1,1.64,58.74,1,1,1,0,0,0,1,0,30.5,29.49,29.67,26.4
10,8/1/2018,Rainy ,Naturally ventilated,6,SW,Morning,31.7,31.6,31.14,31.59,32.6,58,1.5,-1,-1,-2,3,0,1,0,0,30.6,70,Clear or Partially cloudy,0.36,1.2,1,1,1,1.7,61.73,1,1,1,0,0,0,1,0,30.5,29.49,29.67,26.4
