Obs_No,Date,Time,Loc_Type,Age,Gender,Residency_Year,Own_Refrigerator?,Own_Washing_Machine?,Own_TV?,Own_Ceiling_fan?,Own_Exhaust_Fan?,Own_Air-cooler?,Own_AC?,Own_Computer?,Others?,Metabolic_Rate  [W/m2],Clothing_insulation,Window_Status,Balcony_Door,Door_Status,Window_Curtains,Lights,Exhaust_fans,Ceiling_fans,Air-coolers,AC,Temperature_Indoor [C],Temperature_Indoor_Globe [C],Relative_Humidity_Indoor [%],Air_Speed_Indoor [m/s],Illumination_Indoor [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%]
1,"Sunday, August 19, 2018",10:55,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,0.9,0.66,open ,close,open ,Down,on,off,on,Not Available,Not Available,28.9,27.9,84.3,0.4,102,27.6,85.5
2,"Sunday, August 19, 2018",13:45,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,2,0.66,open ,close,open ,Down,on,off,on,Not Available,Not Available,28.9,27.8,81.8,0.35,72,27.6,85.5
3,"Sunday, August 19, 2018",17:25,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,0.9,0.66,open ,close,open ,Up,on,off,on,Not Available,Not Available,28.4,27.7,83.5,0.4,128,27.6,85.5
4,"Sunday, January 20, 2019",11:27,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,2,0.71,close,close,open ,Down,on,off,off,Not Available,Not Available,27.5,27.3,63.3,0,22,27.5,85.5
5,"Sunday, January 20, 2019",17:52,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,0.7,0.71,close,close,open ,Down,on,off,on,Not Available,Not Available,27.2,28.6,63.9,1.01,51,27.5,85.5
6,"Sunday, May 5, 2019",11:56,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,2,0.66,close,close,open ,Down,on,off,on,Not Available,Not Available,30.7,31.3,62,0.19,98,30,85.5
7,"Sunday, May 5, 2019",14:34,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,1.2,0.66,close,close,open ,Down,on,off,on,Not Available,Not Available,30.7,31.4,62.1,0.28,47,30,85.5
8,"Sunday, May 5, 2019",17:45,L1,25,Female,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,1.2,0.66,close,close,open ,Down,on,off,on,Not Available,Not Available,30.5,31.2,67.1,0.76,73,30,85.5
9,"Sunday, August 19, 2018",10:58,L1,30,Male ,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,1.2,0.4,open ,close,open ,Down,on,off,on,Not Available,Not Available,29.1,28.2,84.2,0.35,93,27.6,85.5
10,"Sunday, August 19, 2018",13:40,L1,30,Male ,4 years,Yes,No,No,Yes,Yes,No,No,Yes,No,0.9,0.4,open ,close,open ,Down,on,off,on,Not Available,Not Available,29,27.6,81.9,0.37,69,27.6,85.5
