Date_Time,Outdoor_Temp[C],Outdoor_RH[%],Wind_Speed[m/s],Wind_Direction[deg],Outdoor_Air_Pressure[Pa],Solar_Radiation[w/m2],Precipitation,Building_ID
2012-04-26 00:00,9.23,44.33,2.133,239.00,1025.60,0.000,0.00,1
2012-04-26 00:15,9.00,48.00,0.000,179.33,1025.60,0.000,0.00,1
2012-04-26 00:30,8.30,53.33,0.533,152.00,1025.40,0.000,0.00,1
2012-04-26 00:45,7.83,56.00,1.600,131.67,1025.30,0.000,0.00,1
2012-04-26 01:00,7.43,57.33,0.533,117.67,1025.30,0.000,0.00,1
2012-04-26 01:15,7.27,58.00,0.000,124.67,1024.90,0.000,0.00,1
2012-04-26 01:30,7.13,60.00,0.533,231.00,1024.90,0.000,0.00,1
2012-04-26 01:45,6.93,61.67,0.000,275.33,1024.90,0.000,0.00,1
2012-04-26 02:00,6.73,63.33,0.000,55.33,1024.80,0.000,0.00,1
2012-04-26 02:15,6.60,63.33,0.533,108.33,1024.70,0.000,0.00,1
2012-04-26 02:30,6.60,62.33,1.067,122.33,1024.40,0.000,0.00,1
2012-04-26 02:45,6.67,60.67,1.067,200.33,1024.17,0.000,0.00,1
2012-04-26 03:00,6.70,60.33,0.000,98.00,1023.90,0.000,0.00,1
2012-04-26 03:15,6.73,58.00,1.067,92.67,1023.90,0.000,0.00,1
2012-04-26 03:30,6.90,56.67,0.000,56.67,1023.80,0.000,0.00,1
2012-04-26 03:45,7.13,56.00,0.533,98.67,1023.60,0.000,0.00,1
2012-04-26 04:00,7.10,57.00,1.067,236.33,1023.47,0.000,0.00,1
2012-04-26 04:15,6.90,58.00,1.067,121.67,1023.20,0.000,0.00,1
2012-04-26 04:30,6.80,59.33,1.600,164.33,1023.20,0.000,0.00,1
2012-04-26 04:45,6.75,60.50,0.800,242.00,1023.05,0.000,0.00,1
2012-04-26 05:00,6.87,60.33,3.200,228.67,1022.90,0.000,0.00,1
2012-04-26 05:15,6.83,61.00,0.000,215.67,1022.70,0.000,0.00,1
2012-04-26 05:30,6.73,62.67,1.600,238.33,1022.47,0.000,0.00,1
2012-04-26 05:45,6.68,63.75,2.000,102.00,1022.30,0.000,0.00,1
2012-04-26 06:00,6.53,64.00,1.600,125.33,1022.47,0.000,0.00,1
2012-04-26 06:15,6.60,64.50,3.200,114.50,1022.60,0.000,0.00,1
2012-04-26 06:30,6.60,63.67,3.200,277.00,1022.20,8.333,0.00,1
2012-04-26 06:45,6.73,63.33,0.533,160.67,1022.20,13.333,0.00,1
2012-04-26 07:00,7.10,62.67,2.133,273.67,1021.90,24.333,0.00,1
2012-04-26 07:15,7.00,62.67,2.133,131.00,1021.90,29.000,0.00,1
2012-04-26 07:30,6.90,63.33,1.067,179.67,1021.90,36.667,0.00,1
2012-04-26 07:45,7.23,61.67,2.133,88.33,1021.60,46.333,0.00,1
2012-04-26 08:00,7.27,61.33,1.067,213.00,1021.33,59.667,0.00,1
2012-04-26 08:15,7.27,61.33,3.200,213.67,1021.60,94.333,0.00,1
2012-04-26 08:30,7.63,59.67,2.667,257.33,1021.47,110.667,0.00,1
2012-04-26 08:45,7.63,59.33,1.067,106.33,1021.10,142.000,0.00,1
2012-04-26 09:00,8.07,59.00,2.133,158.33,1020.63,264.000,0.00,1
2012-04-26 09:15,8.30,55.67,2.667,209.33,1020.63,186.667,0.00,1
2012-04-26 09:30,8.67,53.67,3.200,65.00,1020.30,234.000,0.00,1
2012-04-26 09:45,8.73,53.00,0.533,335.67,1020.20,188.000,0.00,1
2012-04-26 10:00,8.77,53.33,3.200,127.67,1020.00,205.667,0.00,1
2012-04-26 10:15,8.93,52.33,1.067,146.00,1019.90,192.000,0.00,1
2012-04-26 10:30,9.03,52.33,1.600,137.00,1019.50,127.667,0.00,1
2012-04-26 10:45,9.10,53.33,0.533,131.67,1019.30,135.667,0.00,1
2012-04-26 11:00,9.10,54.00,0.533,99.67,1019.07,145.000,0.00,1
2012-04-26 11:15,9.20,56.67,2.133,131.00,1018.93,136.667,0.00,1
2012-04-26 11:30,9.23,57.00,2.667,90.00,1018.70,151.000,0.00,1
2012-04-26 11:45,9.20,59.33,2.667,147.33,1018.50,136.000,0.00,1
2012-04-26 12:00,8.93,60.67,3.733,68.00,1018.20,198.667,0.00,1
2012-04-26 12:15,8.80,60.67,2.667,136.33,1018.40,144.333,0.00,1
2012-04-26 12:30,8.90,63.67,3.733,79.00,1018.40,154.000,0.00,1
2012-04-26 12:45,8.80,66.00,4.800,42.67,1018.30,124.667,0.00,1
2012-04-26 13:00,8.60,70.00,2.133,139.33,1018.20,178.667,0.00,1
2012-04-26 13:15,8.50,71.00,1.600,234.33,1018.30,136.000,0.00,1
2012-04-26 13:30,8.43,71.33,3.733,131.00,1018.30,127.667,0.00,1
2012-04-26 13:45,8.43,71.00,1.067,97.33,1018.07,330.000,0.00,1
2012-04-26 14:00,8.90,70.33,2.133,71.33,1018.20,247.667,0.00,1
2012-04-26 14:15,9.50,68.67,0.533,35.33,1018.20,146.333,0.00,1
2012-04-26 14:30,10.07,67.33,0.533,322.00,1018.20,87.667,0.00,1
2012-04-26 14:45,10.60,67.67,1.067,75.67,1018.20,99.333,0.00,1
2012-04-26 15:00,9.90,70.00,2.667,154.67,1018.40,76.667,0.00,1
2012-04-26 15:15,8.90,75.33,1.600,202.67,1018.50,141.667,0.00,1
2012-04-26 15:30,8.47,77.00,4.300,136.00,1018.50,69.333,0.00,1
2012-04-26 15:45,9.47,74.00,3.200,213.67,1018.60,45.000,0.00,1
2012-04-26 16:00,10.00,70.67,3.200,197.67,1018.80,76.333,0.00,1
2012-04-26 16:15,9.53,71.33,2.133,242.33,1019.30,112.000,0.00,1
2012-04-26 16:30,9.17,70.67,5.867,237.33,1019.50,83.000,0.00,1
2012-04-26 16:45,8.70,68.67,3.733,211.67,1019.63,275.667,0.00,1
2012-04-26 17:00,9.43,65.00,9.667,212.67,1019.63,364.333,0.00,1
2012-04-26 17:15,9.93,59.33,9.667,222.33,1020.10,200.333,0.00,1
2012-04-26 17:30,9.27,59.33,5.333,144.33,1020.20,241.000,0.00,1
2012-04-26 17:45,9.33,60.00,8.033,182.00,1020.50,467.000,0.00,1
2012-04-26 18:00,9.23,59.33,4.800,171.33,1021.00,239.333,0.00,1
2012-04-26 18:15,9.17,60.00,4.800,179.67,1021.33,316.000,0.00,1
2012-04-26 18:30,8.77,61.00,4.267,241.00,1021.60,109.000,0.00,1
2012-04-26 18:45,8.30,61.33,4.800,234.33,1021.70,135.333,0.00,1
2012-04-26 19:00,8.27,61.67,10.167,204.33,1022.10,142.333,0.00,1
2012-04-26 19:15,8.13,63.00,5.333,78.33,1022.33,51.333,0.00,1
2012-04-26 19:30,8.10,64.00,4.267,180.00,1022.80,44.333,0.00,1
2012-04-26 19:45,7.90,64.33,3.733,219.00,1023.00,14.333,0.00,1
2012-04-26 20:00,7.67,65.67,5.900,186.33,1023.33,5.000,0.00,1
2012-04-26 20:15,7.43,65.33,8.067,179.67,1023.60,0.000,0.00,1
2012-04-26 20:30,6.97,66.67,6.933,186.67,1023.90,0.000,0.00,1
2012-04-26 20:45,6.67,67.67,8.067,137.00,1024.30,0.000,0.00,1
2012-04-26 21:00,6.40,69.00,5.867,145.00,1024.60,0.000,0.00,1
2012-04-26 21:15,6.33,69.00,8.600,127.67,1024.70,0.000,0.00,1
2012-04-26 21:30,6.20,67.67,5.333,189.00,1024.90,0.000,0.00,1
2012-04-26 21:45,5.83,67.00,5.867,184.33,1025.30,0.000,0.00,1
2012-04-26 22:00,5.43,66.67,4.833,169.67,1025.50,0.000,0.00,1
2012-04-26 22:15,5.07,66.00,11.233,221.00,1025.50,0.000,0.00,1
2012-04-26 22:30,4.77,66.33,9.133,197.33,1026.00,0.000,0.00,1
2012-04-26 22:45,4.60,66.33,6.433,172.67,1026.00,0.000,0.00,1
2012-04-26 23:00,4.43,65.33,7.500,178.00,1026.20,0.000,0.00,1
2012-04-26 23:15,-999.00,-999.00,-999.000,-999.00,-999.00,-999.000,-999.00,1
2012-04-26 23:30,-999.00,-999.00,-999.000,-999.00,-999.00,-999.000,-999.00,1
2012-04-26 23:45,-999.00,-999.00,-999.000,-999.00,-999.00,-999.000,-999.00,1
2012-04-27 00:00,4.13,67.67,4.800,211.33,1027.10,0.000,0.00,1
2012-04-27 00:15,4.07,64.00,6.400,184.67,1027.30,0.000,0.00,1
2012-04-27 00:30,3.80,61.33,10.233,250.67,1027.43,0.000,0.00,1
2012-04-27 00:45,3.67,61.00,4.267,192.00,1027.57,0.000,0.00,1
2012-04-27 01:00,3.37,63.33,3.200,192.00,1027.80,0.000,0.00,1
2012-04-27 01:15,3.17,64.67,5.867,254.33,1028.10,0.000,0.00,1
2012-04-27 01:30,2.97,63.33,4.267,176.33,1028.30,0.000,0.00,1
2012-04-27 01:45,2.77,62.33,5.333,229.00,1028.57,0.000,0.00,1
2012-04-27 02:00,2.63,61.33,8.033,237.00,1029.00,0.000,0.00,1
2012-04-27 02:15,2.50,60.00,6.400,210.33,1029.10,0.000,0.00,1
2012-04-27 02:30,2.40,59.33,5.367,152.33,1029.30,0.000,0.00,1
2012-04-27 02:45,2.37,58.33,6.967,240.33,1029.57,0.000,0.00,1
2012-04-27 03:00,2.17,58.67,5.333,193.67,1029.80,0.000,0.00,1
2012-04-27 03:15,2.17,58.33,4.800,172.67,1029.90,0.000,0.00,1
2012-04-27 03:30,2.00,56.67,2.667,203.67,1030.40,0.000,0.00,1
2012-04-27 03:45,1.83,54.67,2.667,248.33,1030.70,0.000,0.00,1
2012-04-27 04:00,1.83,53.00,3.200,171.67,1030.70,0.000,0.00,1
2012-04-27 04:15,1.80,53.00,11.233,222.33,1030.90,0.000,0.00,1
2012-04-27 04:30,1.83,54.33,5.333,167.67,1031.40,0.000,0.00,1
2012-04-27 04:45,1.77,56.00,6.967,145.67,1031.50,0.000,0.00,1
2012-04-27 05:00,1.83,59.33,3.200,206.00,1031.70,0.000,0.00,1
2012-04-27 05:15,1.70,62.00,2.667,161.33,1031.70,0.000,0.00,1
2012-04-27 05:30,1.40,64.33,3.733,216.67,1031.83,0.000,0.00,1
2012-04-27 05:45,1.33,65.33,3.733,194.67,1032.20,0.000,0.00,1
2012-04-27 06:00,1.30,65.33,3.733,195.33,1032.40,0.000,0.00,1
2012-04-27 06:15,1.30,66.67,1.600,225.00,1032.40,6.000,0.00,1
2012-04-27 06:30,1.30,67.33,3.200,216.33,1032.70,19.667,0.00,1
2012-04-27 06:45,1.30,67.33,2.667,230.33,1032.83,32.667,0.00,1
2012-04-27 07:00,1.43,67.00,4.267,198.33,1033.10,78.333,0.00,1
2012-04-27 07:15,1.57,65.00,5.867,201.00,1033.30,76.333,0.00,1
2012-04-27 07:30,1.67,64.00,3.200,198.33,1033.40,56.333,0.00,1
2012-04-27 07:45,1.50,63.67,4.300,171.00,1033.60,76.000,0.00,1
