"Plot Title: OL_3"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983453, SEN S/N: 10983453, LBL: Light_3)","Occupancy (LGR S/N: 10983453, SEN S/N: 10983453, LBL: Occ_3)"
1,07/18/22 10:45:00 PM,1.00,0.00
2,07/18/22 10:58:55 PM,,1.00
3,07/18/22 10:59:20 PM,0.00,
4,07/18/22 11:00:20 PM,,0.00
5,07/19/22 06:46:22 AM,,1.00
6,07/19/22 06:57:29 AM,,0.00
7,07/19/22 07:45:22 AM,,1.00
8,07/19/22 07:46:38 AM,,0.00
9,07/19/22 07:50:10 AM,,1.00
10,07/19/22 07:51:44 AM,,0.00
11,07/19/22 08:51:14 AM,1.00,
12,07/19/22 09:22:05 AM,0.00,
13,07/19/22 11:40:51 AM,,1.00
14,07/19/22 11:42:10 AM,,0.00
15,07/19/22 12:01:28 PM,,1.00
16,07/19/22 12:03:05 PM,,0.00
17,07/19/22 05:57:49 PM,,1.00
18,07/19/22 05:59:11 PM,,0.00
19,07/19/22 06:03:27 PM,,1.00
20,07/19/22 06:04:59 PM,,0.00
21,07/19/22 07:56:27 PM,,1.00
22,07/19/22 07:58:21 PM,,0.00
23,07/19/22 08:00:10 PM,,1.00
24,07/19/22 08:01:49 PM,,0.00
25,07/19/22 09:46:14 PM,,1.00
26,07/19/22 09:47:22 PM,,0.00
27,07/20/22 07:10:31 AM,,1.00
28,07/20/22 07:21:54 AM,,0.00
29,07/20/22 07:26:37 AM,,1.00
30,07/20/22 07:27:41 AM,,0.00
31,07/20/22 07:50:10 AM,,1.00
32,07/20/22 07:51:28 AM,,0.00
33,07/20/22 08:31:07 AM,1.00,
34,07/20/22 08:31:34 AM,0.00,
35,07/20/22 08:45:48 AM,1.00,
36,07/20/22 09:14:25 AM,0.00,
37,07/20/22 12:23:20 PM,,1.00
38,07/20/22 12:25:06 PM,,0.00
39,07/20/22 12:30:29 PM,,1.00
40,07/20/22 12:32:04 PM,,0.00
41,07/20/22 12:36:45 PM,,1.00
42,07/20/22 12:38:04 PM,,0.00
43,07/20/22 06:10:26 PM,,1.00
44,07/20/22 06:13:31 PM,,0.00
45,07/20/22 06:14:04 PM,,1.00
46,07/20/22 06:20:30 PM,,0.00
47,07/20/22 06:23:41 PM,,1.00
48,07/20/22 06:25:13 PM,,0.00
49,07/20/22 06:28:56 PM,,1.00
50,07/20/22 06:29:57 PM,,0.00
51,07/20/22 06:31:06 PM,,1.00
52,07/20/22 06:32:16 PM,,0.00
53,07/20/22 06:34:09 PM,,1.00
54,07/20/22 06:35:14 PM,,0.00
55,07/20/22 06:35:55 PM,,1.00
56,07/20/22 06:37:58 PM,,0.00
57,07/20/22 06:53:02 PM,,1.00
58,07/20/22 06:55:07 PM,,0.00
59,07/20/22 08:14:49 PM,,1.00
60,07/20/22 08:16:00 PM,,0.00
61,07/20/22 08:21:00 PM,,1.00
62,07/20/22 08:23:45 PM,,0.00
63,07/20/22 09:51:16 PM,,1.00
64,07/20/22 09:52:20 PM,,0.00
65,07/20/22 09:52:24 PM,,1.00
66,07/20/22 09:53:27 PM,,0.00
67,07/20/22 10:27:50 PM,,1.00
68,07/20/22 10:29:13 PM,,0.00
69,07/21/22 08:34:27 AM,,1.00
70,07/21/22 08:35:36 AM,,0.00
71,07/21/22 08:58:56 AM,,1.00
72,07/21/22 09:00:00 AM,,0.00
73,07/21/22 09:03:15 AM,1.00,
74,07/21/22 09:08:24 AM,,1.00
75,07/21/22 09:09:33 AM,,0.00
76,07/21/22 09:13:41 AM,,1.00
77,07/21/22 09:14:41 AM,,0.00
78,07/21/22 09:17:10 AM,0.00,
79,07/21/22 09:44:59 AM,,1.00
80,07/21/22 09:46:02 AM,,0.00
81,07/21/22 01:11:55 PM,,1.00
82,07/21/22 01:13:36 PM,,0.00
83,07/21/22 03:05:31 PM,,1.00
84,07/21/22 03:07:34 PM,,0.00
85,07/21/22 03:09:42 PM,,1.00
86,07/21/22 03:11:52 PM,,0.00
87,07/21/22 05:17:06 PM,,1.00
88,07/21/22 05:18:41 PM,,0.00
89,07/21/22 05:20:10 PM,,1.00
90,07/21/22 05:30:50 PM,,0.00
91,07/21/22 05:37:47 PM,,1.00
92,07/21/22 05:40:00 PM,,0.00
93,07/21/22 05:41:17 PM,,1.00
94,07/21/22 05:43:16 PM,,0.00
95,07/21/22 05:44:58 PM,,1.00
96,07/21/22 05:46:59 PM,,0.00
97,07/21/22 05:49:05 PM,,1.00
