"Plot Title: OL_4"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983451, SEN S/N: 10983451, LBL: Light_4)","Occupancy (LGR S/N: 10983451, SEN S/N: 10983451, LBL: Occ_4)"
1,07/18/22 10:45:00 PM,1.00,0.00
2,07/18/22 10:50:27 PM,,1.00
3,07/18/22 10:52:07 PM,,0.00
4,07/18/22 10:52:27 PM,,1.00
5,07/18/22 10:53:53 PM,,0.00
6,07/18/22 10:57:11 PM,,1.00
7,07/18/22 10:59:35 PM,,0.00
8,07/18/22 11:00:59 PM,,1.00
9,07/18/22 11:05:53 PM,,0.00
10,07/18/22 11:07:01 PM,,1.00
11,07/18/22 11:07:03 PM,0.00,
12,07/18/22 11:11:46 PM,,0.00
13,07/18/22 11:12:41 PM,,1.00
14,07/18/22 11:14:12 PM,,0.00
15,07/18/22 11:17:58 PM,,1.00
16,07/18/22 11:18:59 PM,,0.00
17,07/18/22 11:19:35 PM,,1.00
18,07/18/22 11:21:43 PM,,0.00
19,07/18/22 11:22:30 PM,,1.00
20,07/18/22 11:23:52 PM,,0.00
21,07/18/22 11:28:31 PM,,1.00
22,07/18/22 11:29:46 PM,,0.00
23,07/18/22 11:55:06 PM,,1.00
24,07/18/22 11:57:28 PM,,0.00
25,07/19/22 01:56:46 AM,,1.00
26,07/19/22 01:57:46 AM,,0.00
27,07/19/22 02:56:09 AM,,1.00
28,07/19/22 02:57:10 AM,,0.00
29,07/19/22 02:58:01 AM,,1.00
30,07/19/22 02:59:01 AM,,0.00
31,07/19/22 03:19:23 AM,,1.00
32,07/19/22 03:21:26 AM,,0.00
33,07/19/22 03:36:04 AM,,1.00
34,07/19/22 03:37:09 AM,,0.00
35,07/19/22 03:41:43 AM,,1.00
36,07/19/22 03:42:53 AM,,0.00
37,07/19/22 04:29:50 AM,,1.00
38,07/19/22 04:33:35 AM,,0.00
39,07/19/22 04:53:36 AM,,1.00
40,07/19/22 04:55:15 AM,,0.00
41,07/19/22 05:00:13 AM,,1.00
42,07/19/22 05:01:16 AM,,0.00
43,07/19/22 05:14:30 AM,,1.00
44,07/19/22 05:15:30 AM,,0.00
45,07/19/22 05:28:42 AM,,1.00
46,07/19/22 05:29:45 AM,,0.00
47,07/19/22 05:48:09 AM,,1.00
48,07/19/22 05:49:09 AM,,0.00
49,07/19/22 06:15:29 AM,1.00,
50,07/19/22 06:29:01 AM,,1.00
51,07/19/22 06:30:01 AM,,0.00
52,07/19/22 06:30:17 AM,,1.00
53,07/19/22 06:31:18 AM,,0.00
54,07/19/22 06:32:14 AM,,1.00
55,07/19/22 06:33:41 AM,,0.00
56,07/19/22 06:33:58 AM,,1.00
57,07/19/22 06:36:45 AM,,0.00
58,07/19/22 06:36:55 AM,,1.00
59,07/19/22 06:37:55 AM,,0.00
60,07/19/22 06:41:16 AM,,1.00
61,07/19/22 06:42:17 AM,,0.00
62,07/19/22 06:44:25 AM,,1.00
63,07/19/22 06:45:44 AM,,0.00
64,07/19/22 06:49:57 AM,,1.00
65,07/19/22 06:51:20 AM,,0.00
66,07/19/22 07:08:21 AM,,1.00
67,07/19/22 07:10:41 AM,,0.00
68,07/19/22 07:23:29 AM,,1.00
69,07/19/22 07:24:32 AM,,0.00
70,07/19/22 07:26:30 AM,,1.00
71,07/19/22 07:28:00 AM,,0.00
72,07/19/22 07:28:38 AM,,1.00
73,07/19/22 07:31:11 AM,,0.00
74,07/19/22 07:31:16 AM,,1.00
75,07/19/22 07:32:21 AM,,0.00
76,07/19/22 07:34:39 AM,,1.00
77,07/19/22 07:39:31 AM,,0.00
78,07/19/22 07:41:16 AM,,1.00
79,07/19/22 07:43:36 AM,,0.00
80,07/19/22 07:44:15 AM,,1.00
81,07/19/22 07:49:21 AM,,0.00
82,07/19/22 07:49:48 AM,,1.00
83,07/19/22 07:51:00 AM,,0.00
84,07/19/22 07:53:31 AM,,1.00
85,07/19/22 07:54:32 AM,,0.00
86,07/19/22 11:38:57 AM,,1.00
87,07/19/22 11:39:59 AM,,0.00
88,07/19/22 11:40:09 AM,,1.00
89,07/19/22 11:41:12 AM,,0.00
90,07/19/22 12:21:27 PM,,1.00
91,07/19/22 12:23:05 PM,,0.00
92,07/19/22 12:24:25 PM,,1.00
93,07/19/22 12:27:52 PM,,0.00
94,07/19/22 05:59:04 PM,,1.00
95,07/19/22 06:01:47 PM,,0.00
96,07/19/22 06:02:22 PM,,1.00
97,07/19/22 06:04:21 PM,,0.00
98,07/19/22 06:28:01 PM,,1.00
99,07/19/22 06:29:05 PM,,0.00
100,07/19/22 06:34:15 PM,,1.00
101,07/19/22 06:35:19 PM,,0.00
102,07/19/22 07:14:15 PM,,1.00
103,07/19/22 07:15:44 PM,,0.00
104,07/19/22 07:19:00 PM,,1.00
105,07/19/22 07:25:08 PM,,0.00
106,07/19/22 07:25:25 PM,,1.00
107,07/19/22 07:27:49 PM,,0.00
108,07/19/22 07:31:08 PM,,1.00
109,07/19/22 07:32:18 PM,,0.00
110,07/19/22 07:54:03 PM,,1.00
111,07/19/22 08:01:01 PM,,0.00
112,07/19/22 08:14:41 PM,0.00,
113,07/19/22 09:44:47 PM,,1.00
114,07/19/22 09:44:49 PM,1.00,
115,07/19/22 09:47:09 PM,,0.00
116,07/19/22 09:50:43 PM,,1.00
117,07/19/22 09:51:50 PM,,0.00
118,07/19/22 09:59:37 PM,,1.00
119,07/19/22 10:02:01 PM,,0.00
120,07/19/22 10:02:19 PM,,1.00
121,07/19/22 10:02:49 PM,0.00,
122,07/19/22 10:07:02 PM,,0.00
123,07/19/22 10:09:59 PM,,1.00
124,07/19/22 10:11:54 PM,,0.00
125,07/19/22 10:13:39 PM,,1.00
126,07/19/22 10:14:39 PM,,0.00
127,07/19/22 10:19:48 PM,,1.00
128,07/19/22 10:20:48 PM,,0.00
129,07/19/22 10:22:03 PM,,1.00
130,07/19/22 10:23:50 PM,,0.00
131,07/19/22 10:33:07 PM,,1.00
132,07/19/22 10:34:07 PM,,0.00
133,07/19/22 10:51:29 PM,,1.00
134,07/19/22 10:52:35 PM,,0.00
135,07/19/22 11:44:39 PM,,1.00
136,07/19/22 11:45:41 PM,,0.00
137,07/19/22 11:54:11 PM,,1.00
138,07/19/22 11:55:12 PM,,0.00
139,07/19/22 11:59:15 PM,,1.00
140,07/20/22 12:00:16 AM,,0.00
141,07/20/22 12:13:29 AM,,1.00
142,07/20/22 12:14:34 AM,,0.00
143,07/20/22 12:54:02 AM,,1.00
144,07/20/22 12:55:25 AM,,0.00
145,07/20/22 12:55:27 AM,,1.00
146,07/20/22 12:56:32 AM,,0.00
147,07/20/22 12:59:21 AM,,1.00
148,07/20/22 01:00:57 AM,,0.00
149,07/20/22 01:01:15 AM,,1.00
150,07/20/22 01:02:18 AM,,0.00
151,07/20/22 01:14:24 AM,,1.00
152,07/20/22 01:15:37 AM,,0.00
153,07/20/22 01:23:06 AM,,1.00
154,07/20/22 01:24:08 AM,,0.00
155,07/20/22 01:28:52 AM,,1.00
156,07/20/22 01:29:53 AM,,0.00
157,07/20/22 01:31:48 AM,,1.00
158,07/20/22 01:32:53 AM,,0.00
159,07/20/22 01:39:25 AM,,1.00
160,07/20/22 01:40:27 AM,,0.00
161,07/20/22 02:20:52 AM,,1.00
162,07/20/22 02:22:40 AM,,0.00
163,07/20/22 02:30:50 AM,,1.00
164,07/20/22 02:32:03 AM,,0.00
165,07/20/22 02:40:35 AM,,1.00
166,07/20/22 02:41:37 AM,,0.00
167,07/20/22 02:43:58 AM,,1.00
168,07/20/22 02:45:06 AM,,0.00
169,07/20/22 02:55:26 AM,,1.00
170,07/20/22 02:56:27 AM,,0.00
171,07/20/22 02:58:34 AM,,1.00
172,07/20/22 02:59:35 AM,,0.00
173,07/20/22 03:00:01 AM,,1.00
174,07/20/22 03:01:06 AM,,0.00
175,07/20/22 03:07:41 AM,,1.00
176,07/20/22 03:08:43 AM,,0.00
177,07/20/22 03:41:16 AM,,1.00
178,07/20/22 03:43:04 AM,,0.00
179,07/20/22 03:47:36 AM,,1.00
180,07/20/22 03:48:40 AM,,0.00
181,07/20/22 04:07:37 AM,,1.00
182,07/20/22 04:09:48 AM,,0.00
183,07/20/22 04:13:41 AM,,1.00
184,07/20/22 04:14:48 AM,,0.00
185,07/20/22 04:15:20 AM,,1.00
186,07/20/22 04:16:50 AM,,0.00
187,07/20/22 04:17:42 AM,,1.00
188,07/20/22 04:18:54 AM,,0.00
189,07/20/22 04:31:49 AM,,1.00
190,07/20/22 04:32:54 AM,,0.00
191,07/20/22 04:33:10 AM,,1.00
192,07/20/22 04:34:58 AM,,0.00
193,07/20/22 04:40:59 AM,,1.00
194,07/20/22 04:41:59 AM,,0.00
195,07/20/22 04:44:30 AM,,1.00
196,07/20/22 04:46:28 AM,,0.00
197,07/20/22 04:47:11 AM,,1.00
198,07/20/22 04:48:13 AM,,0.00
199,07/20/22 04:48:48 AM,,1.00
200,07/20/22 04:49:48 AM,,0.00
201,07/20/22 04:52:49 AM,,1.00
202,07/20/22 04:53:50 AM,,0.00
203,07/20/22 05:02:50 AM,,1.00
204,07/20/22 05:03:58 AM,,0.00
205,07/20/22 05:11:41 AM,,1.00
206,07/20/22 05:12:41 AM,,0.00
207,07/20/22 05:16:35 AM,,1.00
208,07/20/22 05:17:39 AM,,0.00
209,07/20/22 05:47:15 AM,,1.00
210,07/20/22 05:48:40 AM,,0.00
211,07/20/22 06:04:13 AM,,1.00
212,07/20/22 06:05:13 AM,,0.00
213,07/20/22 06:11:29 AM,,1.00
214,07/20/22 06:12:30 AM,,0.00
215,07/20/22 06:30:08 AM,,1.00
216,07/20/22 06:32:53 AM,,0.00
217,07/20/22 06:51:57 AM,,1.00
218,07/20/22 06:53:10 AM,,0.00
219,07/20/22 07:09:21 AM,,1.00
220,07/20/22 07:11:27 AM,,0.00
221,07/20/22 07:16:42 AM,1.00,
222,07/20/22 07:26:51 AM,,1.00
223,07/20/22 07:28:03 AM,,0.00
224,07/20/22 07:29:14 AM,,1.00
225,07/20/22 07:32:51 AM,,0.00
226,07/20/22 07:41:35 AM,,1.00
227,07/20/22 07:44:30 AM,,0.00
228,07/20/22 07:45:04 AM,,1.00
229,07/20/22 07:47:43 AM,,0.00
230,07/20/22 07:48:05 AM,,1.00
231,07/20/22 07:49:09 AM,,0.00
232,07/20/22 07:49:41 AM,,1.00
233,07/20/22 07:50:51 AM,,0.00
234,07/20/22 07:57:17 AM,,1.00
235,07/20/22 07:58:42 AM,,0.00
236,07/20/22 11:54:01 AM,,1.00
237,07/20/22 11:55:07 AM,,0.00
238,07/20/22 12:25:01 PM,,1.00
239,07/20/22 12:26:04 PM,,0.00
240,07/20/22 12:26:06 PM,,1.00
241,07/20/22 12:27:42 PM,,0.00
242,07/20/22 12:29:24 PM,,1.00
243,07/20/22 12:32:27 PM,,0.00
244,07/20/22 12:37:19 PM,,1.00
245,07/20/22 12:38:22 PM,,0.00
246,07/20/22 12:38:37 PM,,1.00
247,07/20/22 12:39:42 PM,,0.00
248,07/20/22 05:29:04 PM,,1.00
249,07/20/22 05:32:01 PM,,0.00
250,07/20/22 05:42:31 PM,,1.00
251,07/20/22 05:43:32 PM,,0.00
252,07/20/22 05:44:01 PM,,1.00
253,07/20/22 05:45:27 PM,,0.00
254,07/20/22 05:46:48 PM,,1.00
255,07/20/22 05:48:02 PM,,0.00
256,07/20/22 05:54:14 PM,,1.00
257,07/20/22 06:00:43 PM,,0.00
258,07/20/22 06:01:32 PM,,1.00
259,07/20/22 06:03:27 PM,,0.00
260,07/20/22 06:04:13 PM,,1.00
261,07/20/22 06:09:18 PM,,0.00
262,07/20/22 06:35:15 PM,,1.00
263,07/20/22 06:36:30 PM,,0.00
264,07/20/22 06:37:26 PM,,1.00
265,07/20/22 06:38:29 PM,,0.00
266,07/20/22 06:52:34 PM,,1.00
267,07/20/22 06:53:39 PM,,0.00
