"Plot Title: OLS_5"
"#","Date Time, GMT-07:00","Light (LGR S/N: 10983452, SEN S/N: 10983452, LBL: Light_5)","Occupancy (LGR S/N: 10983452, SEN S/N: 10983452, LBL: Occ_5)"
1,07/18/22 10:45:00 PM,0.00,0.00
2,07/18/22 10:46:01 PM,,1.00
3,07/18/22 10:47:02 PM,,0.00
4,07/18/22 10:49:56 PM,,1.00
5,07/18/22 10:54:05 PM,,0.00
6,07/18/22 10:56:03 PM,,1.00
7,07/18/22 11:01:56 PM,,0.00
8,07/18/22 11:08:33 PM,,1.00
9,07/18/22 11:09:39 PM,,0.00
10,07/18/22 11:55:19 PM,,1.00
11,07/18/22 11:57:17 PM,,0.00
12,07/19/22 06:44:46 AM,,1.00
13,07/19/22 06:48:17 AM,,0.00
14,07/19/22 06:49:52 AM,,1.00
15,07/19/22 06:51:23 AM,,0.00
16,07/19/22 06:53:24 AM,,1.00
17,07/19/22 06:54:24 AM,,0.00
18,07/19/22 06:56:26 AM,,1.00
19,07/19/22 06:57:30 AM,,0.00
20,07/19/22 06:57:49 AM,,1.00
21,07/19/22 06:59:26 AM,,0.00
22,07/19/22 06:59:45 AM,,1.00
23,07/19/22 07:02:24 AM,,0.00
24,07/19/22 07:07:46 AM,,1.00
25,07/19/22 07:09:19 AM,,0.00
26,07/19/22 07:09:40 AM,,1.00
27,07/19/22 07:10:58 AM,,0.00
28,07/19/22 07:11:20 AM,,1.00
29,07/19/22 07:12:53 AM,,0.00
30,07/19/22 07:14:52 AM,,1.00
31,07/19/22 07:16:46 AM,,0.00
32,07/19/22 07:18:02 AM,,1.00
33,07/19/22 07:20:09 AM,,0.00
34,07/19/22 07:20:22 AM,,1.00
35,07/19/22 07:21:39 AM,,0.00
36,07/19/22 07:22:43 AM,,1.00
37,07/19/22 07:24:27 AM,,0.00
38,07/19/22 07:44:50 AM,,1.00
39,07/19/22 07:47:23 AM,,0.00
40,07/19/22 07:48:06 AM,,1.00
41,07/19/22 07:54:23 AM,,0.00
42,07/19/22 11:36:33 AM,,1.00
43,07/19/22 11:39:56 AM,,0.00
44,07/19/22 11:40:11 AM,,1.00
45,07/19/22 11:41:39 AM,,0.00
46,07/19/22 11:41:51 AM,,1.00
47,07/19/22 11:44:05 AM,,0.00
48,07/19/22 11:45:50 AM,,1.00
49,07/19/22 11:46:54 AM,,0.00
50,07/19/22 11:48:31 AM,,1.00
51,07/19/22 11:49:31 AM,,0.00
52,07/19/22 12:01:10 PM,,1.00
53,07/19/22 12:03:09 PM,,0.00
54,07/19/22 12:07:00 PM,,1.00
55,07/19/22 12:08:53 PM,,0.00
56,07/19/22 12:08:58 PM,,1.00
57,07/19/22 12:10:42 PM,,0.00
58,07/19/22 12:11:14 PM,,1.00
59,07/19/22 12:14:48 PM,,0.00
60,07/19/22 12:19:02 PM,,1.00
61,07/19/22 12:25:24 PM,,0.00
62,07/19/22 12:26:03 PM,,1.00
63,07/19/22 12:28:55 PM,,0.00
64,07/19/22 05:57:27 PM,,1.00
65,07/19/22 06:00:02 PM,,0.00
66,07/19/22 06:03:20 PM,,1.00
67,07/19/22 06:06:02 PM,,0.00
68,07/19/22 06:06:06 PM,,1.00
69,07/19/22 06:08:07 PM,,0.00
70,07/19/22 06:08:25 PM,,1.00
71,07/19/22 06:12:09 PM,,0.00
72,07/19/22 06:12:52 PM,,1.00
73,07/19/22 06:19:22 PM,,0.00
74,07/19/22 06:21:45 PM,,1.00
75,07/19/22 06:22:46 PM,,0.00
76,07/19/22 06:24:28 PM,,1.00
77,07/19/22 06:25:29 PM,,0.00
78,07/19/22 06:27:51 PM,,1.00
79,07/19/22 06:29:00 PM,,0.00
80,07/19/22 06:34:18 PM,,1.00
81,07/19/22 06:35:38 PM,,0.00
82,07/19/22 07:14:07 PM,,1.00
83,07/19/22 07:15:39 PM,,0.00
84,07/19/22 07:25:53 PM,,1.00
85,07/19/22 07:27:44 PM,,0.00
86,07/19/22 07:56:19 PM,,1.00
87,07/19/22 07:58:30 PM,,0.00
88,07/19/22 08:00:03 PM,,1.00
89,07/19/22 08:02:36 PM,,0.00
90,07/19/22 08:03:29 PM,,1.00
91,07/19/22 08:05:50 PM,,0.00
92,07/19/22 08:12:26 PM,,1.00
93,07/19/22 08:14:39 PM,,0.00
94,07/19/22 08:14:40 PM,,1.00
95,07/19/22 08:17:58 PM,,0.00
96,07/19/22 08:48:40 PM,,1.00
97,07/19/22 08:49:45 PM,,0.00
98,07/19/22 08:49:50 PM,,1.00
99,07/19/22 08:53:18 PM,,0.00
100,07/19/22 08:53:52 PM,,1.00
101,07/19/22 08:55:17 PM,,0.00
102,07/19/22 08:56:03 PM,,1.00
103,07/19/22 08:57:24 PM,,0.00
104,07/19/22 08:57:54 PM,,1.00
105,07/19/22 08:59:04 PM,,0.00
106,07/19/22 09:00:07 PM,,1.00
107,07/19/22 09:01:19 PM,,0.00
108,07/19/22 09:04:15 PM,,1.00
109,07/19/22 09:06:13 PM,,0.00
110,07/19/22 09:09:51 PM,,1.00
111,07/19/22 09:24:04 PM,,0.00
112,07/19/22 09:24:56 PM,,1.00
113,07/19/22 09:28:11 PM,,0.00
114,07/19/22 09:28:42 PM,,1.00
115,07/19/22 09:30:25 PM,,0.00
116,07/19/22 09:34:24 PM,,1.00
117,07/19/22 09:35:34 PM,,0.00
118,07/19/22 09:37:12 PM,,1.00
119,07/19/22 09:38:41 PM,,0.00
120,07/19/22 09:44:42 PM,,1.00
121,07/19/22 09:47:30 PM,,0.00
122,07/19/22 09:48:17 PM,,1.00
123,07/19/22 09:50:14 PM,,0.00
124,07/19/22 09:50:38 PM,,1.00
125,07/19/22 10:01:31 PM,,0.00
126,07/19/22 10:02:22 PM,,1.00
127,07/19/22 10:03:35 PM,,0.00
128,07/19/22 10:04:20 PM,,1.00
129,07/19/22 10:05:47 PM,,0.00
130,07/20/22 06:52:12 AM,,1.00
131,07/20/22 06:54:12 AM,,0.00
132,07/20/22 06:56:30 AM,,1.00
133,07/20/22 06:57:32 AM,,0.00
134,07/20/22 06:57:58 AM,,1.00
135,07/20/22 07:01:15 AM,,0.00
136,07/20/22 07:02:12 AM,,1.00
137,07/20/22 07:04:49 AM,,0.00
138,07/20/22 07:04:56 AM,,1.00
139,07/20/22 07:05:56 AM,,0.00
140,07/20/22 07:06:08 AM,,1.00
141,07/20/22 07:08:17 AM,,0.00
142,07/20/22 07:08:32 AM,,1.00
143,07/20/22 07:10:17 AM,,0.00
144,07/20/22 07:10:26 AM,,1.00
145,07/20/22 07:11:54 AM,,0.00
