"Plot Title: TRH_02"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10981298, SEN S/N: 10981298, LBL: Temp_2)","RH, % (LGR S/N: 10981298, SEN S/N: 10981298, LBL: RH_2)","Button Down (LGR S/N: 10981298)","Button Up (LGR S/N: 10981298)","Stopped (LGR S/N: 10981298)","End Of File (LGR S/N: 10981298)"
1,07/10/22 09:45:00 PM,27.142,52.248,,,,
2,07/10/22 09:45:30 PM,27.093,52.305,,,,
3,07/10/22 09:46:00 PM,27.044,52.171,,,,
4,07/10/22 09:46:30 PM,26.970,52.448,,,,
5,07/10/22 09:47:00 PM,26.921,52.632,,,,
6,07/10/22 09:47:30 PM,26.872,52.593,,,,
7,07/10/22 09:48:00 PM,26.799,52.869,,,,
8,07/10/22 09:48:30 PM,26.774,52.961,,,,
9,07/10/22 09:49:00 PM,26.725,53.017,,,,
10,07/10/22 09:49:30 PM,26.676,52.947,,,,
11,07/10/22 09:50:00 PM,26.652,53.134,,,,
12,07/10/22 09:50:30 PM,26.603,53.285,,,,
13,07/10/22 09:51:00 PM,26.554,53.374,,,,
14,07/10/22 09:51:30 PM,26.530,53.497,,,,
15,07/10/22 09:52:00 PM,26.481,53.617,,,,
16,07/10/22 09:52:30 PM,26.456,53.676,,,,
17,07/10/22 09:53:00 PM,26.432,53.705,,,,
18,07/10/22 09:53:30 PM,26.407,53.764,,,,
19,07/10/22 09:54:00 PM,26.407,53.796,,,,
20,07/10/22 09:54:30 PM,26.383,53.824,,,,
21,07/10/22 09:55:00 PM,26.383,53.856,,,,
22,07/10/22 09:55:30 PM,26.359,53.915,,,,
23,07/10/22 09:56:00 PM,26.334,53.944,,,,
24,07/10/22 09:56:30 PM,26.310,54.003,,,,
25,07/10/22 09:57:00 PM,26.285,54.031,,,,
26,07/10/22 09:57:30 PM,26.285,54.095,,,,
27,07/10/22 09:58:00 PM,26.261,54.154,,,,
28,07/10/22 09:58:30 PM,26.237,54.182,,,,
29,07/10/22 09:59:00 PM,26.237,54.214,,,,
30,07/10/22 09:59:30 PM,26.237,54.245,,,,
31,07/10/22 10:00:00 PM,26.212,54.274,,,,
32,07/10/22 10:00:30 PM,26.212,54.305,,,,
33,07/10/22 10:01:00 PM,26.188,54.333,,,,
34,07/10/22 10:01:30 PM,26.188,54.365,,,,
35,07/10/22 10:02:00 PM,26.163,54.393,,,,
36,07/10/22 10:02:30 PM,26.163,54.393,,,,
37,07/10/22 10:03:00 PM,26.163,54.424,,,,
38,07/10/22 10:03:30 PM,26.139,54.452,,,,
39,07/10/22 10:04:00 PM,26.139,54.389,,,,
40,07/10/22 10:04:30 PM,26.139,54.421,,,,
41,07/10/22 10:05:00 PM,26.115,54.449,,,,
42,07/10/22 10:05:30 PM,26.139,54.547,,,,
43,07/10/22 10:06:00 PM,26.115,54.543,,,,
44,07/10/22 10:06:30 PM,26.115,54.606,,,,
45,07/10/22 10:07:00 PM,26.115,54.606,,,,
46,07/10/22 10:07:30 PM,26.090,54.634,,,,
47,07/10/22 10:08:00 PM,26.090,54.634,,,,
48,07/10/22 10:08:30 PM,26.090,54.634,,,,
49,07/10/22 10:09:00 PM,26.090,54.634,,,,
50,07/10/22 10:09:30 PM,26.066,54.662,,,,
51,07/10/22 10:10:00 PM,26.066,54.662,,,,
52,07/10/22 10:10:30 PM,26.066,54.662,,,,
53,07/10/22 10:11:00 PM,26.066,54.694,,,,
54,07/10/22 10:11:30 PM,26.066,54.694,,,,
55,07/10/22 10:12:00 PM,26.066,54.694,,,,
56,07/10/22 10:12:30 PM,26.042,54.690,,,,
57,07/10/22 10:13:00 PM,26.042,54.722,,,,
58,07/10/22 10:13:30 PM,26.042,54.722,,,,
59,07/10/22 10:14:00 PM,26.042,54.596,,,,
60,07/10/22 10:14:30 PM,26.042,54.501,,,,
61,07/10/22 10:15:00 PM,26.017,54.687,,,,
62,07/10/22 10:15:30 PM,26.017,54.687,,,,
63,07/10/22 10:16:00 PM,26.017,54.687,,,,
64,07/10/22 10:16:30 PM,26.017,54.624,,,,
65,07/10/22 10:17:00 PM,26.017,54.718,,,,
66,07/10/22 10:17:30 PM,26.017,54.718,,,,
67,07/10/22 10:18:00 PM,26.017,54.718,,,,
68,07/10/22 10:18:30 PM,26.017,54.781,,,,
69,07/10/22 10:19:00 PM,25.993,54.746,,,,
70,07/10/22 10:19:30 PM,26.017,54.813,,,,
71,07/10/22 10:20:00 PM,25.993,54.809,,,,
72,07/10/22 10:20:30 PM,25.993,54.809,,,,
73,07/10/22 10:21:00 PM,25.993,54.809,,,,
74,07/10/22 10:21:30 PM,25.993,54.841,,,,
75,07/10/22 10:22:00 PM,25.993,54.841,,,,
76,07/10/22 10:22:30 PM,25.993,54.809,,,,
77,07/10/22 10:23:00 PM,25.993,54.683,,,,
78,07/10/22 10:23:30 PM,25.993,54.778,,,,
79,07/10/22 10:24:00 PM,25.968,54.806,,,,
80,07/10/22 10:24:30 PM,25.993,54.809,,,,
81,07/10/22 10:25:00 PM,25.968,54.806,,,,
82,07/10/22 10:25:30 PM,25.968,54.837,,,,
83,07/10/22 10:26:00 PM,25.968,54.869,,,,
84,07/10/22 10:26:30 PM,25.968,54.837,,,,
