"Plot Title: TRH_2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10981298, SEN S/N: 10981298, LBL: Temp_2)","RH, % (LGR S/N: 10981298, SEN S/N: 10981298, LBL: RH_2)"
1,07/18/22 10:30:00 PM,25.847,52.547
2,07/18/22 10:30:30 PM,25.822,52.576
3,07/18/22 10:31:00 PM,25.798,52.699
4,07/18/22 10:31:30 PM,25.774,52.695
5,07/18/22 10:32:00 PM,25.749,52.692
6,07/18/22 10:32:30 PM,25.725,52.815
7,07/18/22 10:33:00 PM,25.725,52.625
8,07/18/22 10:33:30 PM,25.701,52.685
9,07/18/22 10:34:00 PM,25.676,52.745
10,07/18/22 10:34:30 PM,25.652,52.774
11,07/18/22 10:35:00 PM,25.652,52.679
12,07/18/22 10:35:30 PM,25.628,52.739
13,07/18/22 10:36:00 PM,25.603,52.735
14,07/18/22 10:36:30 PM,25.603,52.830
15,07/18/22 10:37:00 PM,25.603,53.083
16,07/18/22 10:37:30 PM,25.579,53.080
17,07/18/22 10:38:00 PM,25.579,52.953
18,07/18/22 10:38:30 PM,25.579,52.922
19,07/18/22 10:39:00 PM,25.579,53.427
20,07/18/22 10:39:30 PM,25.579,53.143
21,07/18/22 10:40:00 PM,25.579,53.080
22,07/18/22 10:40:30 PM,25.555,53.108
23,07/18/22 10:41:00 PM,25.579,53.048
24,07/18/22 10:41:30 PM,25.555,53.171
25,07/18/22 10:42:00 PM,25.531,53.105
26,07/18/22 10:42:30 PM,25.555,53.455
27,07/18/22 10:43:00 PM,25.531,53.262
28,07/18/22 10:43:30 PM,25.531,53.199
29,07/18/22 10:44:00 PM,25.531,53.231
30,07/18/22 10:44:30 PM,25.506,53.227
31,07/18/22 10:45:00 PM,25.531,53.231
32,07/18/22 10:45:30 PM,25.506,53.227
33,07/18/22 10:46:00 PM,25.531,53.231
34,07/18/22 10:46:30 PM,25.531,53.199
35,07/18/22 10:47:00 PM,25.531,53.231
36,07/18/22 10:47:30 PM,25.531,53.262
37,07/18/22 10:48:00 PM,25.531,53.262
38,07/18/22 10:48:30 PM,25.531,53.262
39,07/18/22 10:49:00 PM,25.531,53.231
40,07/18/22 10:49:30 PM,25.531,53.231
41,07/18/22 10:50:00 PM,25.531,53.231
42,07/18/22 10:50:30 PM,25.531,53.231
43,07/18/22 10:51:00 PM,25.531,53.231
44,07/18/22 10:51:30 PM,25.531,53.231
45,07/18/22 10:52:00 PM,25.531,53.231
46,07/18/22 10:52:30 PM,25.531,53.231
47,07/18/22 10:53:00 PM,25.531,53.231
48,07/18/22 10:53:30 PM,25.531,53.262
49,07/18/22 10:54:00 PM,25.531,53.231
50,07/18/22 10:54:30 PM,25.531,53.262
