"Plot Title: TRH_4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10981294, SEN S/N: 10981294, LBL: Temp_4)","RH, % (LGR S/N: 10981294, SEN S/N: 10981294, LBL: RH_4)","Button Down (LGR S/N: 10981294)","Stopped (LGR S/N: 10981294)","End Of File (LGR S/N: 10981294)"
1,07/10/22 09:45:00 PM,26.579,52.870,,,
2,07/10/22 09:45:30 PM,26.579,53.060,,,
3,07/10/22 09:46:00 PM,26.554,53.089,,,
4,07/10/22 09:46:30 PM,26.505,53.177,,,
5,07/10/22 09:47:00 PM,26.481,53.205,,,
6,07/10/22 09:47:30 PM,26.432,53.230,,,
7,07/10/22 09:48:00 PM,26.407,53.290,,,
8,07/10/22 09:48:30 PM,26.383,53.413,,,
9,07/10/22 09:49:00 PM,26.334,53.438,,,
10,07/10/22 09:49:30 PM,26.334,53.501,,,
11,07/10/22 09:50:00 PM,26.285,53.558,,,
12,07/10/22 09:50:30 PM,26.261,53.681,,,
13,07/10/22 09:51:00 PM,26.237,53.677,,,
14,07/10/22 09:51:30 PM,26.212,53.737,,,
15,07/10/22 09:52:00 PM,26.188,53.765,,,
16,07/10/22 09:52:30 PM,26.163,53.793,,,
17,07/10/22 09:53:00 PM,26.139,53.853,,,
18,07/10/22 09:53:30 PM,26.139,53.853,,,
19,07/10/22 09:54:00 PM,26.115,53.881,,,
20,07/10/22 09:54:30 PM,26.090,53.909,,,
21,07/10/22 09:55:00 PM,26.090,53.878,,,
22,07/10/22 09:55:30 PM,26.066,53.874,,,
23,07/10/22 09:56:00 PM,26.066,53.906,,,
24,07/10/22 09:56:30 PM,26.042,53.934,,,
25,07/10/22 09:57:00 PM,26.042,53.965,,,
26,07/10/22 09:57:30 PM,26.017,53.994,,,
27,07/10/22 09:58:00 PM,26.017,54.025,,,
28,07/10/22 09:58:30 PM,26.017,54.057,,,
29,07/10/22 09:59:00 PM,25.993,54.053,,,
30,07/10/22 09:59:30 PM,25.993,54.116,,,
31,07/10/22 10:00:00 PM,25.968,54.113,,,
32,07/10/22 10:00:30 PM,25.968,54.176,,,
33,07/10/22 10:01:00 PM,25.944,54.172,,,
34,07/10/22 10:01:30 PM,25.944,54.141,,,
35,07/10/22 10:02:00 PM,25.944,54.204,,,
36,07/10/22 10:02:30 PM,25.944,54.204,,,
37,07/10/22 10:03:00 PM,25.920,54.201,,,
38,07/10/22 10:03:30 PM,25.920,54.169,,,
39,07/10/22 10:04:00 PM,25.920,54.201,,,
40,07/10/22 10:04:30 PM,25.895,54.166,,,
41,07/10/22 10:05:00 PM,25.920,54.137,,,
42,07/10/22 10:05:30 PM,25.895,54.134,,,
43,07/10/22 10:06:00 PM,25.895,54.166,,,
44,07/10/22 10:06:30 PM,25.895,54.134,,,
45,07/10/22 10:07:00 PM,25.895,54.102,,,
46,07/10/22 10:07:30 PM,25.895,54.134,,,
47,07/10/22 10:08:00 PM,25.895,54.134,,,
48,07/10/22 10:08:30 PM,25.895,54.134,,,
49,07/10/22 10:09:00 PM,25.871,54.131,,,
50,07/10/22 10:09:30 PM,25.871,54.131,,,
51,07/10/22 10:10:00 PM,25.871,54.162,,,
52,07/10/22 10:10:30 PM,25.871,54.162,,,
53,07/10/22 10:11:00 PM,25.871,54.162,,,
54,07/10/22 10:11:30 PM,25.847,54.159,,,
55,07/10/22 10:12:00 PM,25.847,54.159,,,
56,07/10/22 10:12:30 PM,25.847,54.127,,,
57,07/10/22 10:13:00 PM,25.847,54.190,,,
58,07/10/22 10:13:30 PM,25.847,54.190,,,
59,07/10/22 10:14:00 PM,25.847,54.159,,,
60,07/10/22 10:14:30 PM,25.847,54.127,,,
61,07/10/22 10:15:00 PM,25.847,54.127,,,
62,07/10/22 10:15:30 PM,25.847,54.096,,,
63,07/10/22 10:16:00 PM,25.847,54.127,,,
64,07/10/22 10:16:30 PM,25.847,54.127,,,
65,07/10/22 10:17:00 PM,25.847,54.096,,,
66,07/10/22 10:17:30 PM,25.847,54.127,,,
67,07/10/22 10:18:00 PM,25.847,54.127,,,
68,07/10/22 10:18:30 PM,25.847,54.127,,,
69,07/10/22 10:19:00 PM,25.822,54.155,,,
70,07/10/22 10:19:30 PM,25.822,54.124,,,
71,07/10/22 10:20:00 PM,25.822,54.155,,,
72,07/10/22 10:20:30 PM,25.822,54.155,,,
73,07/10/22 10:21:00 PM,25.822,54.155,,,
74,07/10/22 10:21:30 PM,25.822,54.187,,,
75,07/10/22 10:22:00 PM,25.822,54.155,,,
76,07/10/22 10:22:30 PM,25.822,54.155,,,
77,07/10/22 10:23:00 PM,25.822,54.092,,,
78,07/10/22 10:23:30 PM,25.822,54.092,,,
79,07/10/22 10:24:00 PM,25.822,54.124,,,
80,07/10/22 10:24:30 PM,25.822,54.124,,,
81,07/10/22 10:25:00 PM,25.822,54.092,,,
82,07/10/22 10:25:30 PM,25.822,54.124,,,
83,07/10/22 10:26:00 PM,25.822,54.155,,,
84,07/10/22 10:26:30 PM,25.798,54.120,,,
85,07/10/22 10:27:00 PM,25.798,54.152,,,
86,07/10/22 10:27:30 PM,25.798,54.120,,,
87,07/10/22 10:28:00 PM,25.798,54.152,,,
88,07/10/22 10:28:30 PM,25.798,54.152,,,
89,07/10/22 10:29:00 PM,25.798,54.183,,,
90,07/10/22 10:29:30 PM,25.798,54.183,,,
91,07/10/22 10:30:00 PM,25.774,54.180,,,
92,07/10/22 10:30:30 PM,25.774,54.211,,,
93,07/10/22 10:31:00 PM,25.774,54.211,,,
94,07/10/22 10:31:30 PM,25.774,54.180,,,
95,07/10/22 10:32:00 PM,25.774,54.211,,,
96,07/10/22 10:32:30 PM,25.774,54.211,,,
97,07/10/22 10:33:00 PM,25.774,54.180,,,
98,07/10/22 10:33:30 PM,25.749,54.208,,,
99,07/10/22 10:34:00 PM,25.749,54.176,,,
100,07/10/22 10:34:30 PM,25.749,54.176,,,
101,07/10/22 10:35:00 PM,25.749,54.208,,,
102,07/10/22 10:35:30 PM,25.749,54.208,,,
103,07/10/22 10:36:00 PM,25.749,54.208,,,
104,07/10/22 10:36:30 PM,25.749,54.208,,,
105,07/10/22 10:37:00 PM,25.749,54.208,,,
106,07/10/22 10:37:30 PM,25.725,54.204,,,
107,07/10/22 10:38:00 PM,25.725,54.204,,,
108,07/10/22 10:38:30 PM,25.725,54.204,,,
109,07/10/22 10:39:00 PM,25.725,54.204,,,
110,07/10/22 10:39:30 PM,25.725,54.236,,,
111,07/10/22 10:40:00 PM,25.725,54.236,,,
112,07/10/22 10:40:30 PM,25.725,54.204,,,
113,07/10/22 10:41:00 PM,25.725,54.236,,,
114,07/10/22 10:41:30 PM,25.701,54.201,,,
115,07/10/22 10:42:00 PM,25.701,54.232,,,
116,07/10/22 10:42:30 PM,25.701,54.232,,,
117,07/10/22 10:43:00 PM,25.701,54.232,,,
118,07/10/22 10:43:30 PM,25.701,54.232,,,
119,07/10/22 10:44:00 PM,25.701,54.232,,,
120,07/10/22 10:44:30 PM,25.701,54.232,,,
121,07/10/22 10:45:00 PM,25.701,54.264,,,
122,07/10/22 10:45:30 PM,25.676,54.260,,,
123,07/10/22 10:46:00 PM,25.701,54.232,,,
124,07/10/22 10:46:30 PM,25.676,54.260,,,
125,07/10/22 10:47:00 PM,25.676,54.229,,,
126,07/10/22 10:47:30 PM,25.676,54.198,,,
127,07/10/22 10:48:00 PM,25.676,54.229,,,
128,07/10/22 10:48:30 PM,25.676,54.198,,,
129,07/10/22 10:49:00 PM,25.676,54.229,,,
130,07/10/22 10:49:30 PM,25.676,54.260,,,
131,07/10/22 10:50:00 PM,25.676,54.229,,,
132,07/10/22 10:50:30 PM,25.676,54.229,,,
133,07/10/22 10:51:00 PM,25.676,54.260,,,
134,07/10/22 10:51:30 PM,25.652,54.257,,,
135,07/10/22 10:52:00 PM,25.652,54.257,,,
136,07/10/22 10:52:30 PM,25.652,54.257,,,
137,07/10/22 10:53:00 PM,25.652,54.257,,,
138,07/10/22 10:53:30 PM,25.652,54.289,,,
139,07/10/22 10:54:00 PM,25.652,54.257,,,
140,07/10/22 10:54:30 PM,25.652,54.257,,,
141,07/10/22 10:55:00 PM,25.652,54.257,,,
142,07/10/22 10:55:30 PM,25.652,54.257,,,
