"Plot Title: TRH_4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10981294, SEN S/N: 10981294, LBL: Temp_4)","RH, % (LGR S/N: 10981294, SEN S/N: 10981294, LBL: RH_4)"
1,07/18/22 10:30:00 PM,26.090,50.099
2,07/18/22 10:30:30 PM,26.066,50.127
3,07/18/22 10:31:00 PM,26.042,50.571
4,07/18/22 10:31:30 PM,26.017,50.185
5,07/18/22 10:32:00 PM,25.993,50.309
6,07/18/22 10:32:30 PM,25.968,50.434
7,07/18/22 10:33:00 PM,25.944,50.877
8,07/18/22 10:33:30 PM,25.944,50.622
9,07/18/22 10:34:00 PM,25.920,50.523
10,07/18/22 10:34:30 PM,25.895,50.711
11,07/18/22 10:35:00 PM,25.895,51.061
12,07/18/22 10:35:30 PM,25.871,50.963
13,07/18/22 10:36:00 PM,25.847,50.545
14,07/18/22 10:36:30 PM,25.822,50.638
15,07/18/22 10:37:00 PM,25.822,50.797
16,07/18/22 10:37:30 PM,25.798,51.016
17,07/18/22 10:38:00 PM,25.798,51.080
18,07/18/22 10:38:30 PM,25.774,50.918
19,07/18/22 10:39:00 PM,25.774,50.695
20,07/18/22 10:39:30 PM,25.774,50.918
21,07/18/22 10:40:00 PM,25.774,51.140
22,07/18/22 10:40:30 PM,25.871,52.646
23,07/18/22 10:41:00 PM,25.920,51.224
24,07/18/22 10:41:30 PM,25.944,50.462
25,07/18/22 10:42:00 PM,25.968,50.561
26,07/18/22 10:42:30 PM,25.944,50.494
27,07/18/22 10:43:00 PM,25.920,50.459
28,07/18/22 10:43:30 PM,25.895,50.520
29,07/18/22 10:44:00 PM,25.895,50.615
30,07/18/22 10:44:30 PM,25.871,50.740
31,07/18/22 10:45:00 PM,25.847,50.641
32,07/18/22 10:45:30 PM,25.822,50.669
33,07/18/22 10:46:00 PM,25.798,50.571
34,07/18/22 10:46:30 PM,25.774,50.567
35,07/18/22 10:47:00 PM,25.774,50.950
36,07/18/22 10:47:30 PM,25.749,50.914
37,07/18/22 10:48:00 PM,25.749,50.660
38,07/18/22 10:48:30 PM,25.725,50.720
39,07/18/22 10:49:00 PM,25.725,50.752
40,07/18/22 10:49:30 PM,25.701,50.749
41,07/18/22 10:50:00 PM,25.701,50.653
42,07/18/22 10:50:30 PM,25.701,50.685
43,07/18/22 10:51:00 PM,25.701,50.717
44,07/18/22 10:51:30 PM,25.701,50.749
45,07/18/22 10:52:00 PM,25.701,50.812
46,07/18/22 10:52:30 PM,25.676,50.841
47,07/18/22 10:53:00 PM,25.676,51.096
48,07/18/22 10:53:30 PM,25.676,51.255
49,07/18/22 10:54:00 PM,25.652,50.965
50,07/18/22 10:54:30 PM,25.652,50.901
51,07/18/22 10:55:00 PM,25.652,50.870
52,07/18/22 10:55:30 PM,25.628,50.835
53,07/18/22 10:56:00 PM,25.628,50.930
54,07/18/22 10:56:30 PM,25.628,50.898
55,07/18/22 10:57:00 PM,25.628,50.835
56,07/18/22 10:57:30 PM,25.628,50.962
57,07/18/22 10:58:00 PM,25.628,51.026
58,07/18/22 10:58:30 PM,25.628,51.057
59,07/18/22 10:59:00 PM,25.603,50.927
60,07/18/22 10:59:30 PM,25.603,51.022
61,07/18/22 11:00:00 PM,25.603,51.213
62,07/18/22 11:00:30 PM,25.603,50.990
63,07/18/22 11:01:00 PM,25.579,50.892
64,07/18/22 11:01:30 PM,25.603,50.927
65,07/18/22 11:02:00 PM,25.603,50.990
66,07/18/22 11:02:30 PM,25.603,50.959
67,07/18/22 11:03:00 PM,25.579,50.955
68,07/18/22 11:03:30 PM,25.579,51.146
69,07/18/22 11:04:00 PM,25.579,50.892
70,07/18/22 11:04:30 PM,25.579,50.955
71,07/18/22 11:05:00 PM,25.555,50.952
72,07/18/22 11:05:30 PM,25.555,50.889
73,07/18/22 11:06:00 PM,25.555,51.016
74,07/18/22 11:06:30 PM,25.555,50.920
75,07/18/22 11:07:00 PM,25.531,50.885
76,07/18/22 11:07:30 PM,25.555,51.175
77,07/18/22 11:08:00 PM,25.531,51.076
78,07/18/22 11:08:30 PM,25.531,50.885
79,07/18/22 11:09:00 PM,25.506,50.818
80,07/18/22 11:09:30 PM,25.506,50.946
81,07/18/22 11:10:00 PM,25.482,51.006
82,07/18/22 11:10:30 PM,25.482,51.038
83,07/18/22 11:11:00 PM,25.482,51.070
84,07/18/22 11:11:30 PM,25.482,51.070
85,07/18/22 11:12:00 PM,25.482,51.101
86,07/18/22 11:12:30 PM,25.482,51.101
87,07/18/22 11:13:00 PM,25.482,51.038
88,07/18/22 11:13:30 PM,25.482,50.911
89,07/18/22 11:14:00 PM,25.458,50.876
90,07/18/22 11:14:30 PM,25.458,50.939
91,07/18/22 11:15:00 PM,25.458,50.907
