"Plot Title: TRH_4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10981294, SEN S/N: 10981294, LBL: Temp_4)","RH, % (LGR S/N: 10981294, SEN S/N: 10981294, LBL: RH_4)","Host Connected (LGR S/N: 10981294)","Stopped (LGR S/N: 10981294)","End Of File (LGR S/N: 10981294)"
1,08/30/22 08:40:00 PM,22.661,54.113,,,
2,08/30/22 08:40:30 PM,22.541,54.533,,,
3,08/30/22 08:41:00 PM,22.397,54.855,,,
4,08/30/22 08:41:30 PM,22.254,55.238,,,
5,08/30/22 08:42:00 PM,22.182,55.476,,,
6,08/30/22 08:42:30 PM,22.086,55.741,,,
7,08/30/22 08:43:00 PM,22.015,56.009,,,
8,08/30/22 08:43:30 PM,21.943,56.215,,,
9,08/30/22 08:44:00 PM,21.871,56.359,,,
10,08/30/22 08:44:30 PM,21.776,56.438,,,
11,08/30/22 08:45:00 PM,21.680,56.671,,,
12,08/30/22 08:45:30 PM,21.632,56.941,,,
13,08/30/22 08:46:00 PM,21.584,57.026,,,
14,08/30/22 08:46:30 PM,21.537,57.696,,,
15,08/30/22 08:47:00 PM,21.489,57.197,,,
16,08/30/22 08:47:30 PM,21.489,57.535,,,
17,08/30/22 08:48:00 PM,21.465,57.562,,,
18,08/30/22 08:48:30 PM,21.441,57.559,,,
19,08/30/22 08:49:00 PM,21.441,57.774,,,
20,08/30/22 08:49:30 PM,21.417,57.617,,,
21,08/30/22 08:50:00 PM,21.417,58.077,,,
22,08/30/22 08:50:30 PM,21.393,57.982,,,
23,08/30/22 08:51:00 PM,21.370,57.394,,,
24,08/30/22 08:51:30 PM,21.346,57.575,,,
25,08/30/22 08:52:00 PM,21.298,57.721,,,
26,08/30/22 08:52:30 PM,21.274,57.933,,,
27,08/30/22 08:53:00 PM,21.250,57.898,,,
28,08/30/22 08:53:30 PM,21.250,58.021,,,
29,08/30/22 08:54:00 PM,21.226,57.987,,,
30,08/30/22 08:54:30 PM,21.203,58.075,,,
31,08/30/22 08:55:00 PM,21.203,58.565,,,
32,08/30/22 08:55:30 PM,21.131,58.156,,,
33,08/30/22 08:56:00 PM,21.107,59.009,,,
34,08/30/22 08:56:30 PM,21.107,58.428,,,
35,08/30/22 08:57:00 PM,21.059,58.451,,,
36,08/30/22 08:57:30 PM,21.036,58.601,,,
37,08/30/22 08:58:00 PM,21.012,58.658,,,
38,08/30/22 08:58:30 PM,20.964,58.926,,,
39,08/30/22 08:59:00 PM,20.964,59.384,,,
40,08/30/22 08:59:30 PM,20.916,59.529,,,
41,08/30/22 09:00:00 PM,20.869,59.064,,,
42,08/30/22 09:00:30 PM,20.869,59.247,,,
43,08/30/22 09:01:00 PM,20.845,59.243,,,
44,08/30/22 09:01:30 PM,20.821,59.240,,,
45,08/30/22 09:02:00 PM,20.821,59.240,,,
46,08/30/22 09:02:30 PM,20.821,59.362,,,
47,08/30/22 09:03:00 PM,20.773,59.263,,,
48,08/30/22 09:03:30 PM,20.773,59.232,,,
49,08/30/22 09:04:00 PM,20.773,59.202,,,
50,08/30/22 09:04:30 PM,20.726,59.316,,,
51,08/30/22 09:05:00 PM,20.726,59.408,,,
52,08/30/22 09:05:30 PM,20.702,59.373,,,
53,08/30/22 09:06:00 PM,20.726,59.377,,,
54,08/30/22 09:06:30 PM,20.702,59.190,,,
55,08/30/22 09:07:00 PM,20.702,59.160,,,
56,08/30/22 09:07:30 PM,20.678,59.126,,,
57,08/30/22 09:08:00 PM,20.606,59.511,,,
58,08/30/22 09:08:30 PM,20.511,59.983,,,
59,08/30/22 09:09:00 PM,20.535,60.381,,,
60,08/30/22 09:09:30 PM,20.511,60.165,,,
61,08/30/22 09:10:00 PM,20.511,60.135,,,
62,08/30/22 09:10:30 PM,20.511,59.831,,,
63,08/30/22 09:11:00 PM,20.511,59.922,,,
64,08/30/22 09:11:30 PM,20.392,60.480,,,
65,08/30/22 09:12:00 PM,20.440,60.336,,,
66,08/30/22 09:12:30 PM,20.463,59.975,,,
67,08/30/22 09:13:00 PM,20.440,60.275,,,
68,08/30/22 09:13:30 PM,20.416,60.180,,,
69,08/30/22 09:14:00 PM,20.297,60.707,,,
70,08/30/22 09:14:30 PM,20.201,61.932,,,
71,08/30/22 09:15:00 PM,20.249,61.214,,,
72,08/30/22 09:15:30 PM,20.249,61.124,,,
73,08/30/22 09:16:00 PM,20.035,61.603,,,
74,08/30/22 09:16:30 PM,20.035,62.266,,,
75,08/30/22 09:17:00 PM,19.892,62.242,,,
76,08/30/22 09:17:30 PM,19.916,62.878,,,
77,08/30/22 09:18:00 PM,20.011,62.533,,,
78,08/30/22 09:18:30 PM,19.987,61.565,,,
79,08/30/22 09:19:00 PM,19.940,61.828,,,
80,08/30/22 09:19:30 PM,19.963,62.254,,,
81,08/30/22 09:20:00 PM,19.963,62.013,,,
82,08/30/22 09:20:30 PM,19.987,61.746,,,
83,08/30/22 09:21:00 PM,20.035,61.512,,,
84,08/30/22 09:21:30 PM,20.011,61.538,,,
85,08/30/22 09:22:00 PM,19.963,61.561,,,
86,08/30/22 09:22:30 PM,19.987,61.474,,,
87,08/30/22 09:23:00 PM,19.987,61.746,,,
88,08/30/22 09:23:30 PM,19.963,62.043,,,
89,08/30/22 09:24:00 PM,19.868,62.780,,,
90,08/30/22 09:24:30 PM,19.773,62.764,,,
91,08/30/22 09:25:00 PM,19.725,62.786,,,
92,08/30/22 09:25:30 PM,19.749,64.288,,,
93,08/30/22 09:26:00 PM,19.797,62.708,,,
94,08/30/22 09:26:30 PM,19.821,62.080,,,
95,08/30/22 09:27:00 PM,19.868,61.817,,,
96,08/30/22 09:27:30 PM,19.868,62.539,,,
97,08/30/22 09:28:00 PM,19.916,61.885,,,
98,08/30/22 09:28:30 PM,19.940,61.527,,,
99,08/30/22 09:29:00 PM,19.987,61.565,,,
100,08/30/22 09:29:30 PM,20.011,61.115,,,
101,08/30/22 09:30:00 PM,20.011,61.236,,,
102,08/30/22 09:30:30 PM,20.011,61.266,,,
103,08/30/22 09:31:00 PM,19.916,61.583,,,
104,08/30/22 09:31:30 PM,19.844,62.204,,,
105,08/30/22 09:32:00 PM,19.773,62.704,,,
106,08/30/22 09:32:30 PM,19.844,63.016,,,
107,08/30/22 09:33:00 PM,19.773,62.042,,,
108,08/30/22 09:33:30 PM,19.749,63.000,,,
109,08/30/22 09:34:00 PM,19.797,62.527,,,
110,08/30/22 09:34:30 PM,19.821,62.231,,,
111,08/30/22 09:35:00 PM,19.797,62.046,,,
112,08/30/22 09:35:30 PM,19.702,62.962,,,
113,08/30/22 09:36:00 PM,19.702,63.112,,,
114,08/30/22 09:36:30 PM,19.725,62.876,,,
115,08/30/22 09:37:00 PM,19.749,62.550,,,
116,08/30/22 09:37:30 PM,19.773,62.373,,,
117,08/30/22 09:38:00 PM,19.749,62.339,,,
118,08/30/22 09:38:30 PM,19.773,62.854,,,
119,08/30/22 09:39:00 PM,19.773,62.433,,,
120,08/30/22 09:39:30 PM,19.559,62.788,,,
121,08/30/22 09:40:00 PM,19.535,63.743,,,
122,08/30/22 09:40:30 PM,19.511,63.799,,,
123,08/30/22 09:41:00 PM,19.535,63.713,,,
124,08/30/22 09:41:30 PM,19.464,63.072,,,
125,08/30/22 09:42:00 PM,19.297,63.793,,,
126,08/30/22 09:42:30 PM,19.440,65.218,,,
127,08/30/22 09:43:00 PM,19.487,63.466,,,
128,08/30/22 09:43:30 PM,19.535,62.934,,,
129,08/30/22 09:44:00 PM,19.535,62.814,,,
130,08/30/22 09:44:30 PM,19.440,62.918,,,
131,08/30/22 09:45:00 PM,19.368,64.133,,,
132,08/30/22 09:45:30 PM,19.321,64.930,,,
133,08/30/22 09:46:00 PM,19.416,63.843,,,
134,08/30/22 09:46:30 PM,19.368,63.326,,,
135,08/30/22 09:47:00 PM,19.345,64.249,,,
136,08/30/22 09:47:30 PM,19.416,63.932,,,
137,08/30/22 09:48:00 PM,19.464,63.312,,,
138,08/30/22 09:48:30 PM,19.511,62.990,,,
139,08/30/22 09:49:00 PM,19.583,63.242,,,
140,08/30/22 09:49:30 PM,19.487,63.466,,,
141,08/30/22 09:50:00 PM,19.464,64.060,,,
142,08/30/22 09:50:30 PM,19.368,63.835,,,
143,08/30/22 09:51:00 PM,19.345,63.980,,,
144,08/30/22 09:51:30 PM,19.297,64.181,,,
145,08/30/22 09:52:00 PM,19.154,65.109,,,
146,08/30/22 09:52:30 PM,19.202,65.712,,,
147,08/30/22 09:53:00 PM,19.131,64.867,,,
148,08/30/22 09:53:30 PM,19.178,64.876,,,
149,08/30/22 09:54:00 PM,19.178,64.667,,,
150,08/30/22 09:54:30 PM,19.202,64.642,,,
151,08/30/22 09:55:00 PM,19.059,64.647,,,
152,08/30/22 09:55:30 PM,19.107,64.863,,,
153,08/30/22 09:56:00 PM,19.178,65.024,,,
154,08/30/22 09:56:30 PM,19.250,64.858,,,
155,08/30/22 09:57:00 PM,19.250,63.934,,,
156,08/30/22 09:57:30 PM,19.226,64.258,,,
157,08/30/22 09:58:00 PM,19.154,64.693,,,
158,08/30/22 09:58:30 PM,19.131,64.986,,,
159,08/30/22 09:59:00 PM,19.154,64.991,,,
160,08/30/22 09:59:30 PM,19.202,64.731,,,
161,08/30/22 10:00:00 PM,19.154,64.574,,,
162,08/30/22 10:00:30 PM,19.083,65.038,,,
163,08/30/22 10:01:00 PM,19.154,65.614,,,
164,08/30/22 10:01:30 PM,19.178,64.727,,,
165,08/30/22 10:02:00 PM,19.226,64.348,,,
166,08/30/22 10:02:30 PM,19.250,64.828,,,
167,08/30/22 10:03:00 PM,19.273,64.177,,,
168,08/30/22 10:03:30 PM,19.321,65.287,,,
169,08/30/22 10:04:00 PM,19.250,64.441,,,
170,08/30/22 10:04:30 PM,19.226,64.646,,,
171,08/30/22 10:05:00 PM,19.226,65.389,,,
