"Plot Title: TRH_4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10981294, SEN S/N: 10981294, LBL: Temp_4)","RH, % (LGR S/N: 10981294, SEN S/N: 10981294, LBL: RH_4)","Stopped (LGR S/N: 10981294)","End Of File (LGR S/N: 10981294)"
1,08/29/22 09:35:00 AM,25.652,51.823,,
2,08/29/22 09:35:30 AM,25.603,52.165,,
3,08/29/22 09:36:00 AM,25.531,52.092,,
4,08/29/22 09:36:30 AM,25.506,52.310,,
5,08/29/22 09:37:00 AM,25.458,52.209,,
6,08/29/22 09:37:30 AM,25.409,52.360,,
7,08/29/22 09:38:00 AM,25.385,52.515,,
8,08/29/22 09:38:30 AM,25.361,52.575,,
9,08/29/22 09:39:00 AM,25.336,52.635,,
10,08/29/22 09:39:30 AM,25.288,52.723,,
11,08/29/22 09:40:00 AM,25.264,52.562,,
12,08/29/22 09:40:30 AM,25.239,52.748,,
13,08/29/22 09:41:00 AM,25.239,52.969,,
14,08/29/22 09:41:30 AM,25.215,52.840,,
15,08/29/22 09:42:00 AM,25.191,53.057,,
16,08/29/22 09:42:30 AM,25.167,52.928,,
17,08/29/22 09:43:00 AM,25.142,53.366,,
18,08/29/22 09:43:30 AM,25.142,53.587,,
19,08/29/22 09:44:00 AM,25.118,53.520,,
20,08/29/22 09:44:30 AM,25.118,53.678,,
21,08/29/22 09:45:00 AM,25.094,53.800,,
22,08/29/22 09:45:30 AM,25.094,54.021,,
23,08/29/22 09:46:00 AM,25.070,53.954,,
24,08/29/22 09:46:30 AM,25.070,53.891,,
25,08/29/22 09:47:00 AM,25.070,53.671,,
26,08/29/22 09:47:30 AM,25.045,53.667,,
27,08/29/22 09:48:00 AM,25.045,54.045,,
28,08/29/22 09:48:30 AM,25.045,53.951,,
29,08/29/22 09:49:00 AM,25.045,53.888,,
30,08/29/22 09:49:30 AM,25.045,53.951,,
31,08/29/22 09:50:00 AM,25.045,53.919,,
32,08/29/22 09:50:30 AM,25.021,53.916,,
33,08/29/22 09:51:00 AM,25.021,53.790,,
34,08/29/22 09:51:30 AM,25.021,53.916,,
35,08/29/22 09:52:00 AM,25.021,53.790,,
36,08/29/22 09:52:30 AM,25.021,53.916,,
37,08/29/22 09:53:00 AM,24.997,53.912,,
38,08/29/22 09:53:30 AM,24.997,53.692,,
39,08/29/22 09:54:00 AM,24.997,53.692,,
40,08/29/22 09:54:30 AM,24.997,53.598,,
41,08/29/22 09:55:00 AM,24.997,53.629,,
42,08/29/22 09:55:30 AM,24.997,53.598,,
43,08/29/22 09:56:00 AM,24.997,53.629,,
44,08/29/22 09:56:30 AM,24.997,53.629,,
45,08/29/22 09:57:00 AM,24.997,53.503,,
46,08/29/22 09:57:30 AM,24.997,53.535,,
47,08/29/22 09:58:00 AM,24.997,53.472,,
48,08/29/22 09:58:30 AM,24.997,53.503,,
49,08/29/22 09:59:00 AM,24.997,53.503,,
50,08/29/22 09:59:30 AM,24.997,53.472,,
51,08/29/22 10:00:00 AM,24.997,53.472,,
52,08/29/22 10:00:30 AM,24.997,53.440,,
53,08/29/22 10:01:00 AM,24.997,53.503,,
54,08/29/22 10:01:30 AM,24.997,53.503,,
55,08/29/22 10:02:00 AM,24.997,53.409,,
56,08/29/22 10:02:30 AM,24.997,53.409,,
57,08/29/22 10:03:00 AM,24.997,53.377,,
58,08/29/22 10:03:30 AM,24.997,53.409,,
59,08/29/22 10:04:00 AM,24.997,53.440,,
60,08/29/22 10:04:30 AM,25.021,53.381,,
61,08/29/22 10:05:00 AM,25.021,53.412,,
62,08/29/22 10:05:30 AM,25.021,53.412,,
63,08/29/22 10:06:00 AM,25.021,53.349,,
64,08/29/22 10:06:30 AM,25.021,53.286,,
65,08/29/22 10:07:00 AM,25.021,53.349,,
