Date,Time,Temp (°F)
7/25/22,0900,60.2
7/25/22,0800,59.5
7/25/22,0700,58.8
7/25/22,0600,59
7/25/22,0500,59.4
7/25/22,0400,59
7/25/22,0300,58.7
7/25/22,0200,58.3
7/25/22,0100,58.3
7/25/22,0000,57.6
7/24/22,2300,58.4
7/24/22,2200,59.6
7/24/22,2100,62.3
7/24/22,2000,66.1
7/24/22,1900,68.9
7/24/22,1800,71.4
7/24/22,1700,72.2
7/24/22,1600,73.6
7/24/22,1500,72.9
7/24/22,1400,73.1
7/24/22,1300,72.1
7/24/22,1200,68.7
7/24/22,1100,66.5
7/24/22,1000,63.6
7/24/22,0900,60
7/24/22,0800,58.7
7/24/22,0700,58.5
7/24/22,0600,58.3
7/24/22,0500,58.1
7/24/22,0400,57.7
7/24/22,0300,56
7/24/22,0200,53.9
7/24/22,0100,54.6
7/24/22,0000,56.6
7/23/22,2300,58.5
7/23/22,2200,60.7
7/23/22,2100,63.3
7/23/22,2000,66.6
7/23/22,1900,69.1
7/23/22,1800,70.3
7/23/22,1700,71.7
7/23/22,1600,71.4
7/23/22,1500,70.1
7/23/22,1400,68.9
7/23/22,1300,67.8
7/23/22,1200,67.3
7/23/22,1100,67
7/23/22,1000,63.7
7/23/22,0900,58.7
7/23/22,0800,56.3
7/23/22,0700,52.9
7/23/22,0600,51.2
7/23/22,0500,51.1
7/23/22,0400,52.5
7/23/22,0300,54.1
7/23/22,0200,56.4
7/23/22,0100,59
7/23/22,0000,59.2
7/22/22,2300,59.8
7/22/22,2200,63.2
7/22/22,2100,68.5
7/22/22,2000,72.6
7/22/22,1900,76
7/22/22,1800,79.6
7/22/22,1700,81.2
7/22/22,1600,79
7/22/22,1500,77.1
7/22/22,1400,74.4
7/22/22,1300,72.2
7/22/22,1200,71.1
7/22/22,1100,69.5
7/22/22,1000,66.9
7/22/22,0900,62.8
7/22/22,0800,57.4
7/22/22,0700,52.2
7/22/22,0600,51.9
7/22/22,0500,52.5
7/22/22,0400,53.4
7/22/22,0300,55.2
7/22/22,0200,55.3
7/22/22,0100,55.7
7/22/22,0000,56.8
7/21/22,2300,59.2
7/21/22,2200,61.2
7/21/22,2100,66.2
7/21/22,2000,70.7
7/21/22,1900,72.5
7/21/22,1800,73.5
7/21/22,1700,73.7
7/21/22,1600,72.8
7/21/22,1500,72.2
7/21/22,1400,70.6
7/21/22,1300,69
7/21/22,1200,67.9
7/21/22,1100,67
7/21/22,1000,63.2
7/21/22,0900,60
7/21/22,0800,58.3
7/21/22,0700,58.2
7/21/22,0600,58.3
7/21/22,0500,58.5
7/21/22,0400,58.6
7/21/22,0300,58.8
7/21/22,0200,58.5
7/21/22,0100,56.7
7/21/22,0000,56.7
7/20/22,2300,59
7/20/22,2200,61.2
7/20/22,2100,64.1
7/20/22,2000,67.7
7/20/22,1900,71.1
7/20/22,1800,72.7
7/20/22,1700,73.9
7/20/22,1600,73.8
7/20/22,1500,71.8
7/20/22,1400,70.7
7/20/22,1300,68.9
7/20/22,1200,67.1
7/20/22,1100,67.6
7/20/22,1000,63.6
7/20/22,0900,59.7
7/20/22,0800,58.4
7/20/22,0700,57.8
7/20/22,0600,57.6
7/20/22,0500,57.2
7/20/22,0400,56
7/20/22,0300,54.7
7/20/22,0200,54.5
7/20/22,0100,55.8
7/20/22,0000,57.2
7/19/22,2300,59
7/19/22,2200,60.8
7/19/22,2100,63.7
7/19/22,2000,67
7/19/22,1900,72
7/19/22,1800,74.6
7/19/22,1700,74.3
7/19/22,1600,75
7/19/22,1500,72.9
7/19/22,1400,70.9
7/19/22,1300,70.3
7/19/22,1200,68
7/19/22,1100,67.4
7/19/22,1000,63.8
7/19/22,0900,60.6
7/19/22,0800,57.6
7/19/22,0700,52.5
7/19/22,0600,53
7/19/22,0500,53.7
7/19/22,0400,55.3
7/19/22,0300,56
7/19/22,0200,57.4
7/19/22,0100,58.8
7/19/22,0000,61
7/18/22,2300,63.4
7/18/22,2200,66.4
7/18/22,2100,69.6
7/18/22,2000,72.6
7/18/22,1900,76.6
7/18/22,1800,77.4
7/18/22,1700,79
7/18/22,1600,78.6
7/18/22,1500,79.6
7/18/22,1400,79.8
7/18/22,1300,79.4
7/18/22,1200,75.9
7/18/22,1100,74.2
