Date,Time,Temp (°F)
7/18/22,900,65.4
7/18/22,800,60.5
7/18/22,700,55.9
7/18/22,600,55.7
7/18/22,500,56.4
7/18/22,400,57.7
7/18/22,300,58.6
7/18/22,200,59.9
7/18/22,100,61.1
7/18/22,0,62.4
7/17/22,2300,64.5
7/17/22,2200,66.2
7/17/22,2100,68.6
7/17/22,2000,73.1
7/17/22,1900,76.5
7/17/22,1800,79.1
7/17/22,1700,80.2
7/17/22,1600,77.2
7/17/22,1500,77.2
7/17/22,1400,75.3
7/17/22,1300,73.6
7/17/22,1200,73.2
7/17/22,1100,72.5
7/17/22,1000,68.2
7/17/22,900,64.6
7/17/22,800,60.7
7/17/22,700,55.3
7/17/22,600,54.9
7/17/22,500,54.8
7/17/22,400,55.9
7/17/22,300,56.9
7/17/22,200,58.4
7/17/22,100,60.6
7/17/22,0,61.1
7/16/22,2300,62.7
7/16/22,2200,66.7
7/16/22,2100,71.9
7/16/22,2000,75.8
7/16/22,1900,79.6
7/16/22,1800,81.1
7/16/22,1700,82.2
7/16/22,1600,81.1
7/16/22,1500,80.3
7/16/22,1400,78.3
7/16/22,1300,75.9
7/16/22,1200,73.3
7/16/22,1100,70.3
7/16/22,1000,65.4
7/16/22,900,60.8
7/16/22,800,58.7
7/16/22,700,57.3
7/16/22,600,54.8
7/16/22,500,54.4
7/16/22,400,52.5
7/16/22,300,52.8
7/16/22,200,54.4
7/16/22,100,55.3
7/16/22,0,57.3
7/15/22,2300,59.4
7/15/22,2200,62.4
7/15/22,2100,65.2
7/15/22,2000,68.5
7/15/22,1900,72.2
7/15/22,1800,75
7/15/22,1700,76.2
7/15/22,1600,76.1
7/15/22,1500,76.2
7/15/22,1400,74.8
7/15/22,1300,71.2
7/15/22,1200,69.3
7/15/22,1100,69.8
7/15/22,1000,66.4
7/15/22,900,62.6
7/15/22,800,58.3
7/15/22,700,51.9
7/15/22,600,52.3
7/15/22,500,53.6
7/15/22,400,54
7/15/22,300,55.2
7/15/22,200,55.7
7/15/22,100,55.8
7/15/22,0,57.2
7/14/22,2300,58.9
7/14/22,2200,62.6
7/14/22,2100,66.1
7/14/22,2000,70.4
7/14/22,1900,73.4
7/14/22,1800,75.6
7/14/22,1700,78.9
7/14/22,1600,79.7
7/14/22,1500,75.9
7/14/22,1400,73
7/14/22,1300,70.4
7/14/22,1200,69.3
7/14/22,1100,69
7/14/22,1000,67.6
7/14/22,900,63.9
7/14/22,800,61.4
7/14/22,700,60.8
7/14/22,600,60.9
7/14/22,500,61.1
7/14/22,400,61.3
7/14/22,300,61.1
7/14/22,200,60.8
7/14/22,100,60.2
7/14/22,0,60
7/13/22,2300,61.1
7/13/22,2200,63.6
7/13/22,2100,65.6
7/13/22,2000,69.6
7/13/22,1900,72.2
7/13/22,1800,74.1
7/13/22,1700,74.4
7/13/22,1600,72.6
7/13/22,1500,71.2
7/13/22,1400,70.9
7/13/22,1300,71
7/13/22,1200,71.8
7/13/22,1100,69.9
7/13/22,1000,66.3
7/13/22,900,63.4
7/13/22,800,61.1
7/13/22,700,60.1
7/13/22,600,60.3
7/13/22,500,60.8
7/13/22,400,61.8
7/13/22,300,62.1
7/13/22,200,62.3
7/13/22,100,62.5
7/13/22,0,61.4
7/12/22,2300,61.8
7/12/22,2200,62.4
7/12/22,2100,66.3
7/12/22,2000,71.1
7/12/22,1900,75.5
7/12/22,1800,76.4
7/12/22,1700,77.1
7/12/22,1600,75
7/12/22,1500,74.1
7/12/22,1400,72.7
7/12/22,1300,71.7
7/12/22,1200,69.5
7/12/22,1100,67.9
7/12/22,1000,65.6
7/12/22,900,63.6
7/12/22,800,61.9
7/12/22,700,61.9
7/12/22,600,61.6
7/12/22,500,61
7/12/22,400,60.4
7/12/22,300,58.5
7/12/22,200,58
7/12/22,100,59.4
7/12/22,0,61.6
7/11/22,2300,62.4
7/11/22,2200,64.5
7/11/22,2100,66.8
7/11/22,2000,71.1
7/11/22,1900,75.5
7/11/22,1800,79.6
7/11/22,1700,78.9
7/11/22,1600,78.2
7/11/22,1500,79.2
7/11/22,1400,78.4
7/11/22,1300,77.8
7/11/22,1200,76.4
7/11/22,1100,75.7
7/11/22,1000,73.4
7/11/22,900,67.7
7/11/22,800,62.2
7/11/22,700,56.2
7/11/22,600,55.8
7/11/22,500,56.8
7/11/22,400,57.8
7/11/22,300,59
7/11/22,200,60.5
7/11/22,100,62.8
7/11/22,0,64.8
7/10/22,2300,66.5
7/10/22,2200,70.4
7/10/22,2100,77.5
7/10/22,2000,84.2
7/10/22,1900,85.7
7/10/22,1800,86.4
7/10/22,1700,85.5
7/10/22,1600,86.5
7/10/22,1500,84.7
7/10/22,1400,81.3
7/10/22,1300,80.9
7/10/22,1200,75.9
7/10/22,1100,71.4
7/10/22,1000,66.7
7/10/22,900,62.8
7/10/22,800,60.5
7/10/22,700,59.6
7/10/22,600,59.8
7/10/22,500,59.4
7/10/22,400,55.8
7/10/22,300,55.9
7/10/22,200,56.4
7/10/22,100,57.8
7/10/22,0,59
7/9/22,2300,61.4
7/9/22,2200,65.7
7/9/22,2100,68.5
7/9/22,2000,71
7/9/22,1900,73.2
7/9/22,1800,76.6
7/9/22,1700,78.2
7/9/22,1600,76.9
7/9/22,1500,73.5
7/9/22,1400,71
7/9/22,1300,70.3
7/9/22,1200,68.6
7/9/22,1100,68.2
7/9/22,1000,66.7
7/9/22,900,63.8
7/9/22,800,60.1
7/9/22,700,54.9
7/9/22,600,54.2
7/9/22,500,54.2
7/9/22,400,55.2
7/9/22,300,56
7/9/22,200,58.2
7/9/22,100,58.6
7/9/22,0,60
7/8/22,2300,61.8
7/8/22,2200,64.1
7/8/22,2100,67.1
7/8/22,2000,70.6
7/8/22,1900,73.4
7/8/22,1800,75.2
7/8/22,1700,77.2
7/8/22,1600,78.7
7/8/22,1500,79.4
7/8/22,1400,78
7/8/22,1300,74.2
7/8/22,1200,72.5
7/8/22,1100,70.7
7/8/22,1000,68.1
7/8/22,900,65.2
7/8/22,800,60.1
7/8/22,700,53.1
7/8/22,600,52
7/8/22,500,52.9
7/8/22,400,53.6
7/8/22,300,54.8
7/8/22,200,55.7
7/8/22,100,57.7
7/8/22,0,57.7
7/7/22,2300,58.9
7/7/22,2200,62.6
7/7/22,2100,66.4
7/7/22,2000,69.3
7/7/22,1900,71.5
7/7/22,1800,74.2
7/7/22,1700,75.9
7/7/22,1600,76.4
7/7/22,1500,74.7
7/7/22,1400,70.4
7/7/22,1300,68.8
7/7/22,1200,67.6
7/7/22,1100,66
7/7/22,1000,62.6
7/7/22,900,60.2
7/7/22,800,59.1
7/7/22,700,58.7
7/7/22,600,59.1
7/7/22,500,59.1
7/7/22,400,57.4
7/7/22,300,54.5
7/7/22,200,54.2
7/7/22,100,55.4
7/7/22,0,58.5
7/6/22,2300,60.8
7/6/22,2200,61.5
7/6/22,2100,63.3
7/6/22,2000,66.3
7/6/22,1900,69.4
7/6/22,1800,71.6
7/6/22,1700,72.1
7/6/22,1600,71.8
7/6/22,1500,71.5
7/6/22,1400,71.6
7/6/22,1300,70
7/6/22,1200,68.5
7/6/22,1100,67.1
7/6/22,1000,65.4
7/6/22,900,65.5
7/6/22,800,63.3
7/6/22,700,62.7
7/6/22,600,62.8
7/6/22,500,63
7/6/22,400,63.2
7/6/22,300,63.2
7/6/22,200,63.7
